wavelength, nm;	absorption
388.00;	1.2478
388.33;	1.2635
388.67;	1.2792
389.00;	1.2950
389.34;	1.3109
389.67;	1.3269
390.00;	1.3430
390.34;	1.3592
390.67;	1.3755
391.00;	1.3919
391.34;	1.4083
391.67;	1.4249
392.01;	1.4415
392.34;	1.4582
392.67;	1.4750
393.01;	1.4918
393.34;	1.5088
393.68;	1.5258
394.01;	1.5429
394.34;	1.5600
394.68;	1.5773
395.01;	1.5945
395.35;	1.6119
395.68;	1.6293
396.01;	1.6468
396.35;	1.6643
396.68;	1.6819
397.01;	1.6996
397.35;	1.7173
397.68;	1.7350
398.02;	1.7528
398.35;	1.7707
398.68;	1.7886
399.02;	1.8065
399.35;	1.8245
399.69;	1.8425
400.02;	1.8605
400.35;	1.8786
400.69;	1.8967
401.02;	1.9149
401.36;	1.9330
401.69;	1.9512
402.02;	1.9694
402.36;	1.9876
402.69;	2.0058
403.02;	2.0241
403.36;	2.0423
403.69;	2.0606
404.03;	2.0788
404.36;	2.0971
404.69;	2.1153
405.03;	2.1336
405.36;	2.1518
405.70;	2.1700
406.03;	2.1882
406.36;	2.2064
406.70;	2.2246
407.03;	2.2427
407.37;	2.2608
407.70;	2.2789
408.03;	2.2970
408.37;	2.3150
408.70;	2.3330
409.03;	2.3509
409.37;	2.3688
409.70;	2.3867
410.04;	2.4045
410.37;	2.4222
410.70;	2.4399
411.04;	2.4575
411.37;	2.4751
411.71;	2.4926
412.04;	2.5100
412.37;	2.5274
412.71;	2.5446
413.04;	2.5618
413.37;	2.5789
413.71;	2.5960
414.04;	2.6129
414.38;	2.6298
414.71;	2.6465
415.04;	2.6632
415.38;	2.6797
415.71;	2.6961
416.05;	2.7125
416.38;	2.7287
416.71;	2.7448
417.05;	2.7608
417.38;	2.7767
417.72;	2.7924
418.05;	2.8080
418.38;	2.8235
418.72;	2.8389
419.05;	2.8541
419.38;	2.8691
419.72;	2.8841
420.05;	2.8989
420.39;	2.9135
420.72;	2.9280
421.05;	2.9423
421.39;	2.9565
421.72;	2.9705
422.06;	2.9843
422.39;	2.9980
422.72;	3.0115
423.06;	3.0249
423.39;	3.0380
423.73;	3.0510
424.06;	3.0638
424.39;	3.0764
424.73;	3.0889
425.06;	3.1011
425.39;	3.1132
425.73;	3.1250
426.06;	3.1367
426.40;	3.1481
426.73;	3.1594
427.06;	3.1704
427.40;	3.1813
427.73;	3.1919
428.07;	3.2023
428.40;	3.2126
428.73;	3.2226
429.07;	3.2323
429.40;	3.2419
429.74;	3.2512
430.07;	3.2603
430.40;	3.2692
430.74;	3.2779
431.07;	3.2863
431.40;	3.2945
431.74;	3.3024
432.07;	3.3101
432.41;	3.3176
432.74;	3.3249
433.07;	3.3319
433.41;	3.3386
433.74;	3.3451
434.08;	3.3514
434.41;	3.3574
434.74;	3.3632
435.08;	3.3687
435.41;	3.3740
435.74;	3.3790
436.08;	3.3838
436.41;	3.3883
436.75;	3.3925
437.08;	3.3965
437.41;	3.4002
437.75;	3.4037
438.08;	3.4069
438.42;	3.4099
438.75;	3.4126
439.08;	3.4150
439.42;	3.4172
439.75;	3.4191
440.09;	3.4208
440.42;	3.4221
440.75;	3.4233
441.09;	3.4241
441.42;	3.4247
441.75;	3.4250
442.09;	3.4251
442.42;	3.4249
442.76;	3.4244
443.09;	3.4237
443.42;	3.4227
443.76;	3.4215
444.09;	3.4200
444.43;	3.4182
444.76;	3.4161
445.09;	3.4138
445.43;	3.4112
445.76;	3.4084
446.10;	3.4053
446.43;	3.4020
446.76;	3.3984
447.10;	3.3945
447.43;	3.3904
447.76;	3.3860
448.10;	3.3814
448.43;	3.3765
448.77;	3.3713
449.10;	3.3659
449.43;	3.3603
449.77;	3.3544
450.10;	3.3482
450.44;	3.3418
450.77;	3.3352
451.10;	3.3283
451.44;	3.3212
451.77;	3.3138
452.11;	3.3062
452.44;	3.2984
452.77;	3.2903
453.11;	3.2820
453.44;	3.2735
453.77;	3.2647
454.11;	3.2557
454.44;	3.2465
454.78;	3.2370
455.11;	3.2274
455.44;	3.2175
455.78;	3.2074
456.11;	3.1971
456.45;	3.1865
456.78;	3.1758
457.11;	3.1648
457.45;	3.1537
457.78;	3.1423
458.11;	3.1308
458.45;	3.1190
458.78;	3.1071
459.12;	3.0949
459.45;	3.0826
459.78;	3.0701
460.12;	3.0573
460.45;	3.0445
460.79;	3.0314
461.12;	3.0181
461.45;	3.0047
461.79;	2.9911
462.12;	2.9774
462.46;	2.9634
462.79;	2.9493
463.12;	2.9351
463.46;	2.9207
463.79;	2.9061
464.12;	2.8914
464.46;	2.8766
464.79;	2.8616
465.13;	2.8464
