wavelength, nm;	absorption
371.00;	0.4019
371.40;	0.4099
371.81;	0.4181
372.21;	0.4263
372.61;	0.4347
373.02;	0.4432
373.42;	0.4518
373.82;	0.4605
374.23;	0.4693
374.63;	0.4782
375.03;	0.4873
375.44;	0.4965
375.84;	0.5058
376.24;	0.5152
376.65;	0.5247
377.05;	0.5343
377.45;	0.5441
377.86;	0.5539
378.26;	0.5639
378.66;	0.5740
379.07;	0.5842
379.47;	0.5945
379.87;	0.6050
380.27;	0.6155
380.68;	0.6262
381.08;	0.6370
381.48;	0.6479
381.89;	0.6589
382.29;	0.6700
382.69;	0.6812
383.10;	0.6926
383.50;	0.7040
383.90;	0.7156
384.31;	0.7272
384.71;	0.7390
385.11;	0.7509
385.52;	0.7628
385.92;	0.7749
386.32;	0.7871
386.73;	0.7994
387.13;	0.8118
387.53;	0.8243
387.94;	0.8369
388.34;	0.8496
388.74;	0.8623
389.15;	0.8752
389.55;	0.8882
389.95;	0.9012
390.36;	0.9144
390.76;	0.9276
391.16;	0.9409
391.57;	0.9543
391.97;	0.9678
392.37;	0.9814
392.78;	0.9950
393.18;	1.0087
393.58;	1.0225
393.99;	1.0364
394.39;	1.0503
394.79;	1.0643
395.20;	1.0784
395.60;	1.0925
396.00;	1.1067
396.41;	1.1209
396.81;	1.1352
397.21;	1.1496
397.61;	1.1640
398.02;	1.1784
398.42;	1.1929
398.82;	1.2075
399.23;	1.2221
399.63;	1.2367
400.03;	1.2513
400.44;	1.2660
400.84;	1.2807
401.24;	1.2955
401.65;	1.3102
402.05;	1.3250
402.45;	1.3398
402.86;	1.3546
403.26;	1.3694
403.66;	1.3842
404.07;	1.3990
404.47;	1.4139
404.87;	1.4287
405.28;	1.4435
405.68;	1.4583
406.08;	1.4731
406.49;	1.4878
406.89;	1.5026
407.29;	1.5173
407.70;	1.5320
408.10;	1.5467
408.50;	1.5613
408.91;	1.5759
409.31;	1.5904
409.71;	1.6049
410.12;	1.6194
410.52;	1.6338
410.92;	1.6481
411.33;	1.6624
411.73;	1.6766
412.13;	1.6907
412.54;	1.7048
412.94;	1.7188
413.34;	1.7327
413.75;	1.7465
414.15;	1.7603
414.55;	1.7739
414.95;	1.7875
415.36;	1.8009
415.76;	1.8143
416.16;	1.8275
416.57;	1.8407
416.97;	1.8537
417.37;	1.8666
417.78;	1.8794
418.18;	1.8920
418.58;	1.9045
418.99;	1.9169
419.39;	1.9292
419.79;	1.9413
420.20;	1.9533
420.60;	1.9651
421.00;	1.9768
421.41;	1.9883
421.81;	1.9997
422.21;	2.0109
422.62;	2.0219
423.02;	2.0328
423.42;	2.0435
423.83;	2.0540
424.23;	2.0643
424.63;	2.0745
425.04;	2.0845
425.44;	2.0943
425.84;	2.1039
426.25;	2.1133
426.65;	2.1225
427.05;	2.1315
427.46;	2.1403
427.86;	2.1489
428.26;	2.1573
428.67;	2.1655
429.07;	2.1734
429.47;	2.1812
429.88;	2.1887
430.28;	2.1960
430.68;	2.2031
431.08;	2.2100
431.49;	2.2166
431.89;	2.2230
432.29;	2.2292
432.70;	2.2351
433.10;	2.2408
433.50;	2.2463
433.91;	2.2515
434.31;	2.2565
434.71;	2.2612
435.12;	2.2657
435.52;	2.2700
435.92;	2.2740
436.33;	2.2777
436.73;	2.2812
437.13;	2.2845
437.54;	2.2875
437.94;	2.2902
