wavelength, nm;	absorption
372.00;	0.4170
372.30;	0.4232
372.61;	0.4294
372.91;	0.4357
373.21;	0.4421
373.52;	0.4485
373.82;	0.4550
374.12;	0.4615
374.43;	0.4682
374.73;	0.4748
375.04;	0.4816
375.34;	0.4884
375.64;	0.4953
375.95;	0.5022
376.25;	0.5092
376.55;	0.5163
376.86;	0.5234
377.16;	0.5306
377.46;	0.5379
377.77;	0.5452
378.07;	0.5526
378.38;	0.5601
378.68;	0.5676
378.98;	0.5752
379.29;	0.5829
379.59;	0.5906
379.89;	0.5984
380.20;	0.6062
380.50;	0.6141
380.80;	0.6221
381.11;	0.6301
381.41;	0.6382
381.71;	0.6464
382.02;	0.6546
382.32;	0.6629
382.62;	0.6712
382.93;	0.6796
383.23;	0.6881
383.54;	0.6966
383.84;	0.7052
384.14;	0.7139
384.45;	0.7226
384.75;	0.7314
385.05;	0.7402
385.36;	0.7491
385.66;	0.7581
385.96;	0.7671
386.27;	0.7761
386.57;	0.7852
386.88;	0.7944
387.18;	0.8037
387.48;	0.8130
387.79;	0.8223
388.09;	0.8317
388.39;	0.8412
388.70;	0.8507
389.00;	0.8602
389.30;	0.8698
389.61;	0.8795
389.91;	0.8892
390.21;	0.8990
390.52;	0.9088
390.82;	0.9186
391.12;	0.9285
391.43;	0.9385
391.73;	0.9485
392.04;	0.9585
392.34;	0.9686
392.64;	0.9788
392.95;	0.9890
393.25;	0.9992
393.55;	1.0094
393.86;	1.0197
394.16;	1.0301
394.46;	1.0405
394.77;	1.0509
395.07;	1.0613
395.38;	1.0718
395.68;	1.0823
395.98;	1.0929
396.29;	1.1035
396.59;	1.1141
396.89;	1.1248
397.20;	1.1354
397.50;	1.1462
397.80;	1.1569
398.11;	1.1677
398.41;	1.1784
398.71;	1.1893
399.02;	1.2001
399.32;	1.2109
399.62;	1.2218
399.93;	1.2327
400.23;	1.2436
400.54;	1.2546
400.84;	1.2655
401.14;	1.2765
401.45;	1.2874
401.75;	1.2984
402.05;	1.3094
402.36;	1.3204
402.66;	1.3314
402.96;	1.3424
403.27;	1.3535
403.57;	1.3645
403.88;	1.3755
404.18;	1.3865
404.48;	1.3976
404.79;	1.4086
405.09;	1.4196
405.39;	1.4306
405.70;	1.4416
406.00;	1.4526
406.30;	1.4636
406.61;	1.4746
406.91;	1.4856
407.21;	1.4965
407.52;	1.5074
407.82;	1.5184
408.12;	1.5293
408.43;	1.5402
408.73;	1.5510
409.04;	1.5619
409.34;	1.5727
409.64;	1.5835
409.95;	1.5942
410.25;	1.6049
410.55;	1.6156
410.86;	1.6263
411.16;	1.6369
411.46;	1.6475
411.77;	1.6581
412.07;	1.6686
412.38;	1.6791
412.68;	1.6895
412.98;	1.6999
413.29;	1.7103
413.59;	1.7206
413.89;	1.7308
414.20;	1.7411
414.50;	1.7512
414.80;	1.7613
415.11;	1.7714
415.41;	1.7813
415.71;	1.7913
416.02;	1.8011
416.32;	1.8110
416.62;	1.8207
416.93;	1.8304
417.23;	1.8400
417.54;	1.8496
417.84;	1.8590
418.14;	1.8685
418.45;	1.8778
418.75;	1.8871
419.05;	1.8962
419.36;	1.9054
419.66;	1.9144
419.96;	1.9234
420.27;	1.9322
420.57;	1.9410
420.88;	1.9497
421.18;	1.9583
421.48;	1.9669
421.79;	1.9753
422.09;	1.9837
422.39;	1.9919
422.70;	2.0001
423.00;	2.0082
423.30;	2.0162
423.61;	2.0240
423.91;	2.0318
424.21;	2.0395
424.52;	2.0471
424.82;	2.0546
425.12;	2.0619
425.43;	2.0692
425.73;	2.0764
426.04;	2.0834
426.34;	2.0904
426.64;	2.0972
426.95;	2.1039
427.25;	2.1105
427.55;	2.1170
427.86;	2.1234
428.16;	2.1297
428.46;	2.1358
428.77;	2.1419
429.07;	2.1478
429.38;	2.1535
429.68;	2.1592
429.98;	2.1647
430.29;	2.1702
430.59;	2.1755
430.89;	2.1806
431.20;	2.1857
431.50;	2.1906
431.80;	2.1954
432.11;	2.2000
432.41;	2.2045
432.71;	2.2089
433.02;	2.2132
433.32;	2.2173
433.62;	2.2213
433.93;	2.2251
434.23;	2.2289
434.54;	2.2324
434.84;	2.2359
435.14;	2.2392
435.45;	2.2424
435.75;	2.2454
436.05;	2.2483
436.36;	2.2511
436.66;	2.2537
436.96;	2.2561
437.27;	2.2585
437.57;	2.2607
437.88;	2.2627
438.18;	2.2646
438.48;	2.2664
438.79;	2.2680
439.09;	2.2695
439.39;	2.2708
439.70;	2.2720
440.00;	2.2731
440.30;	2.2740
440.61;	2.2747
440.91;	2.2753
441.21;	2.2758
441.52;	2.2761
441.82;	2.2763
442.12;	2.2763
442.43;	2.2762
442.73;	2.2760
443.04;	2.2756
443.34;	2.2750
443.64;	2.2743
443.95;	2.2735
444.25;	2.2725
444.55;	2.2714
444.86;	2.2701
445.16;	2.2687
445.46;	2.2672
445.77;	2.2655
446.07;	2.2636
446.38;	2.2616
446.68;	2.2595
446.98;	2.2572
447.29;	2.2548
447.59;	2.2523
447.89;	2.2496
448.20;	2.2468
448.50;	2.2438
448.80;	2.2407
449.11;	2.2375
449.41;	2.2341
449.71;	2.2306
450.02;	2.2269
450.32;	2.2231
450.62;	2.2192
450.93;	2.2151
451.23;	2.2110
451.54;	2.2066
451.84;	2.2022
452.14;	2.1976
452.45;	2.1929
452.75;	2.1880
453.05;	2.1831
453.36;	2.1780
453.66;	2.1728
453.96;	2.1674
454.27;	2.1619
454.57;	2.1563
454.88;	2.1506
455.18;	2.1448
455.48;	2.1388
455.79;	2.1328
456.09;	2.1266
456.39;	2.1203
456.70;	2.1138
457.00;	2.1073
457.30;	2.1006
457.61;	2.0939
457.91;	2.0870
458.21;	2.0800
458.52;	2.0729
458.82;	2.0657
459.12;	2.0584
459.43;	2.0510
459.73;	2.0435
460.04;	2.0359
460.34;	2.0282
460.64;	2.0204
460.95;	2.0125
461.25;	2.0045
461.55;	1.9964
461.86;	1.9882
462.16;	1.9799
462.46;	1.9716
462.77;	1.9631
463.07;	1.9546
463.38;	1.9459
463.68;	1.9372
463.98;	1.9284
464.29;	1.9195
464.59;	1.9106
464.89;	1.9016
465.20;	1.8924
465.50;	1.8833
465.80;	1.8740
466.11;	1.8647
466.41;	1.8553
466.71;	1.8458
467.02;	1.8363
467.32;	1.8267
467.62;	1.8170
467.93;	1.8073
468.23;	1.7975
468.54;	1.7876
468.84;	1.7777
469.14;	1.7678
469.45;	1.7577
469.75;	1.7477
470.05;	1.7376
470.36;	1.7274
470.66;	1.7172
470.96;	1.7069
471.27;	1.6966
471.57;	1.6863
471.88;	1.6759
472.18;	1.6654
472.48;	1.6550
472.79;	1.6445
473.09;	1.6339
473.39;	1.6234
473.70;	1.6127
474.00;	1.6021
474.30;	1.5915
474.61;	1.5808
474.91;	1.5700
475.21;	1.5593
475.52;	1.5485
475.82;	1.5378
476.12;	1.5270
476.43;	1.5161
476.73;	1.5053
477.04;	1.4945
477.34;	1.4836
477.64;	1.4727
477.95;	1.4618
478.25;	1.4509
478.55;	1.4400
478.86;	1.4291
479.16;	1.4182
479.46;	1.4073
479.77;	1.3964
480.07;	1.3855
480.38;	1.3746
480.68;	1.3637
480.98;	1.3528
481.29;	1.3419
481.59;	1.3310
481.89;	1.3201
482.20;	1.3092
482.50;	1.2984
482.80;	1.2875
483.11;	1.2767
483.41;	1.2659
483.71;	1.2551
484.02;	1.2443
484.32;	1.2335
484.62;	1.2228
484.93;	1.2120
485.23;	1.2013
485.54;	1.1907
485.84;	1.1800
486.14;	1.1694
486.45;	1.1588
486.75;	1.1482
487.05;	1.1377
487.36;	1.1272
487.66;	1.1167
487.96;	1.1062
488.27;	1.0958
488.57;	1.0855
488.88;	1.0751
489.18;	1.0648
489.48;	1.0546
489.79;	1.0443
490.09;	1.0342
490.39;	1.0240
490.70;	1.0139
491.00;	1.0039
491.30;	0.9938
491.61;	0.9839
491.91;	0.9739
492.21;	0.9641
492.52;	0.9542
492.82;	0.9445
493.12;	0.9347
493.43;	0.9250
493.73;	0.9154
494.04;	0.9058
494.34;	0.8963
494.64;	0.8868
494.95;	0.8774
495.25;	0.8680
495.55;	0.8587
495.86;	0.8494
496.16;	0.8402
496.46;	0.8311
496.77;	0.8220
497.07;	0.8130
497.38;	0.8040
497.68;	0.7951
497.98;	0.7862
498.29;	0.7774
498.59;	0.7687
498.89;	0.7600
499.20;	0.7514
499.50;	0.7428
499.80;	0.7343
500.11;	0.7259
500.41;	0.7175
500.71;	0.7092
501.02;	0.7010
501.32;	0.6928
501.62;	0.6847
501.93;	0.6767
502.23;	0.6687
502.54;	0.6608
502.84;	0.6529
503.14;	0.6451
503.45;	0.6374
503.75;	0.6297
504.05;	0.6222
504.36;	0.6146
504.66;	0.6072
504.96;	0.5998
505.27;	0.5925
505.57;	0.5852
505.88;	0.5780
506.18;	0.5709
506.48;	0.5639
506.79;	0.5569
507.09;	0.5500
507.39;	0.5431
507.70;	0.5363
508.00;	0.5296
508.30;	0.5230
508.61;	0.5164
508.91;	0.5099
509.21;	0.5034
509.52;	0.4971
509.82;	0.4908
510.12;	0.4845
510.43;	0.4784
510.73;	0.4723
511.04;	0.4662
511.34;	0.4603
511.64;	0.4544
511.95;	0.4485
512.25;	0.4428
512.55;	0.4371
512.86;	0.4314
513.16;	0.4259
513.46;	0.4204
513.77;	0.4149
514.07;	0.4096
514.38;	0.4043
514.68;	0.3990
514.98;	0.3938
515.29;	0.3887
515.59;	0.3837
515.89;	0.3787
516.20;	0.3738
516.50;	0.3690
516.80;	0.3642
517.11;	0.3595
517.41;	0.3548
517.71;	0.3502
518.02;	0.3457
518.32;	0.3412
518.62;	0.3368
518.93;	0.3325
519.23;	0.3282
519.54;	0.3240
519.84;	0.3198
520.14;	0.3157
520.45;	0.3117
520.75;	0.3077
521.05;	0.3038
521.36;	0.3000
521.66;	0.2962
521.96;	0.2924
522.27;	0.2888
522.57;	0.2851
522.88;	0.2816
523.18;	0.2781
523.48;	0.2746
523.79;	0.2712
524.09;	0.2679
524.39;	0.2646
524.70;	0.2614
525.00;	0.2582
525.30;	0.2551
525.61;	0.2521
525.91;	0.2491
526.21;	0.2461
526.52;	0.2432
526.82;	0.2404
527.12;	0.2376
527.43;	0.2349
527.73;	0.2322
528.04;	0.2295
528.34;	0.2269
528.64;	0.2244
528.95;	0.2219
529.25;	0.2195
529.55;	0.2171
529.86;	0.2148
530.16;	0.2125
530.46;	0.2102
530.77;	0.2080
531.07;	0.2059
531.38;	0.2038
531.68;	0.2017
531.98;	0.1997
532.29;	0.1978
532.59;	0.1959
532.89;	0.1940
533.20;	0.1922
533.50;	0.1904
533.80;	0.1886
534.11;	0.1869
534.41;	0.1853
534.71;	0.1837
535.02;	0.1821
535.32;	0.1806
535.62;	0.1791
535.93;	0.1776
536.23;	0.1762
536.54;	0.1749
536.84;	0.1735
537.14;	0.1723
537.45;	0.1710
537.75;	0.1698
538.05;	0.1686
538.36;	0.1675
538.66;	0.1664
538.96;	0.1653
539.27;	0.1643
539.57;	0.1633
539.88;	0.1624
540.18;	0.1614
540.48;	0.1606
540.79;	0.1597
541.09;	0.1589
541.39;	0.1581
541.70;	0.1574
542.00;	0.1567
542.30;	0.1560
542.61;	0.1553
542.91;	0.1547
543.21;	0.1541
543.52;	0.1536
543.82;	0.1531
544.12;	0.1526
544.43;	0.1521
544.73;	0.1517
545.04;	0.1513
545.34;	0.1509
545.64;	0.1506
545.95;	0.1502
546.25;	0.1500
546.55;	0.1497
546.86;	0.1495
547.16;	0.1493
547.46;	0.1491
547.77;	0.1489
548.07;	0.1488
548.38;	0.1487
548.68;	0.1486
548.98;	0.1486
549.29;	0.1486
549.59;	0.1486
549.89;	0.1486
550.20;	0.1487
550.50;	0.1488
550.80;	0.1489
551.11;	0.1490
551.41;	0.1491
551.71;	0.1493
552.02;	0.1495
552.32;	0.1497
552.62;	0.1500
552.93;	0.1502
553.23;	0.1505
553.54;	0.1508
553.84;	0.1512
554.14;	0.1515
554.45;	0.1519
554.75;	0.1523
555.05;	0.1527
555.36;	0.1531
555.66;	0.1536
555.96;	0.1540
556.27;	0.1545
556.57;	0.1550
556.88;	0.1556
557.18;	0.1561
557.48;	0.1567
557.79;	0.1573
558.09;	0.1579
558.39;	0.1585
558.70;	0.1591
559.00;	0.1598
559.30;	0.1604
559.61;	0.1611
559.91;	0.1618
560.21;	0.1626
560.52;	0.1633
560.82;	0.1641
561.12;	0.1648
561.43;	0.1656
561.73;	0.1664
562.04;	0.1673
562.34;	0.1681
562.64;	0.1690
562.95;	0.1698
563.25;	0.1707
563.55;	0.1716
563.86;	0.1725
564.16;	0.1734
564.46;	0.1744
564.77;	0.1753
565.07;	0.1763
565.38;	0.1773
565.68;	0.1783
565.98;	0.1793
566.29;	0.1803
566.59;	0.1814
566.89;	0.1824
567.20;	0.1835
567.50;	0.1846
567.80;	0.1857
568.11;	0.1868
568.41;	0.1879
568.71;	0.1890
569.02;	0.1902
569.32;	0.1913
569.62;	0.1925
569.93;	0.1937
570.23;	0.1948
570.54;	0.1960
570.84;	0.1973
571.14;	0.1985
571.45;	0.1997
571.75;	0.2010
572.05;	0.2022
572.36;	0.2035
572.66;	0.2048
572.96;	0.2061
573.27;	0.2074
573.57;	0.2087
573.88;	0.2100
574.18;	0.2113
574.48;	0.2127
574.79;	0.2140
575.09;	0.2154
575.39;	0.2168
575.70;	0.2182
576.00;	0.2196
576.30;	0.2210
576.61;	0.2224
576.91;	0.2238
577.21;	0.2252
577.52;	0.2267
577.82;	0.2281
578.12;	0.2296
578.43;	0.2310
578.73;	0.2325
579.04;	0.2340
579.34;	0.2355
579.64;	0.2370
579.95;	0.2385
580.25;	0.2400
580.55;	0.2416
580.86;	0.2431
581.16;	0.2447
581.46;	0.2462
581.77;	0.2478
582.07;	0.2494
582.38;	0.2509
582.68;	0.2525
582.98;	0.2541
583.29;	0.2557
583.59;	0.2573
583.89;	0.2590
584.20;	0.2606
584.50;	0.2622
584.80;	0.2639
585.11;	0.2655
585.41;	0.2672
585.71;	0.2688
586.02;	0.2705
586.32;	0.2722
586.62;	0.2739
586.93;	0.2756
587.23;	0.2772
587.54;	0.2790
587.84;	0.2807
588.14;	0.2824
588.45;	0.2841
588.75;	0.2858
589.05;	0.2876
589.36;	0.2893
589.66;	0.2911
589.96;	0.2928
590.27;	0.2946
590.57;	0.2964
590.88;	0.2981
591.18;	0.2999
591.48;	0.3017
591.79;	0.3035
592.09;	0.3053
592.39;	0.3071
592.70;	0.3089
593.00;	0.3107
593.30;	0.3125
593.61;	0.3144
593.91;	0.3162
594.21;	0.3180
594.52;	0.3199
594.82;	0.3217
595.12;	0.3236
595.43;	0.3254
595.73;	0.3273
596.04;	0.3291
596.34;	0.3310
596.64;	0.3329
596.95;	0.3348
597.25;	0.3367
597.55;	0.3385
597.86;	0.3404
598.16;	0.3423
598.46;	0.3442
598.77;	0.3461
599.07;	0.3480
599.38;	0.3500
599.68;	0.3519
599.98;	0.3538
600.29;	0.3557
600.59;	0.3577
600.89;	0.3596
601.20;	0.3615
601.50;	0.3635
601.80;	0.3654
602.11;	0.3673
602.41;	0.3693
602.71;	0.3713
603.02;	0.3732
603.32;	0.3752
603.62;	0.3771
603.93;	0.3791
604.23;	0.3811
604.54;	0.3830
604.84;	0.3850
605.14;	0.3870
605.45;	0.3890
605.75;	0.3909
606.05;	0.3929
606.36;	0.3949
606.66;	0.3969
606.96;	0.3989
607.27;	0.4009
607.57;	0.4029
607.88;	0.4049
608.18;	0.4068
608.48;	0.4088
608.79;	0.4108
609.09;	0.4128
609.39;	0.4148
609.70;	0.4169
610.00;	0.4189
610.30;	0.4209
610.61;	0.4229
610.91;	0.4249
611.21;	0.4269
611.52;	0.4289
611.82;	0.4309
612.12;	0.4329
612.43;	0.4349
612.73;	0.4370
613.04;	0.4390
613.34;	0.4410
613.64;	0.4430
613.95;	0.4450
614.25;	0.4470
614.55;	0.4490
614.86;	0.4511
615.16;	0.4531
615.46;	0.4551
615.77;	0.4571
616.07;	0.4591
616.38;	0.4611
616.68;	0.4631
616.98;	0.4651
617.29;	0.4672
617.59;	0.4692
617.89;	0.4712
618.20;	0.4732
618.50;	0.4752
618.80;	0.4772
619.11;	0.4792
619.41;	0.4812
619.71;	0.4832
620.02;	0.4852
620.32;	0.4872
620.62;	0.4892
620.93;	0.4912
621.23;	0.4932
621.54;	0.4952
621.84;	0.4972
622.14;	0.4992
622.45;	0.5011
622.75;	0.5031
623.05;	0.5051
623.36;	0.5071
623.66;	0.5091
623.96;	0.5110
624.27;	0.5130
624.57;	0.5150
624.88;	0.5169
625.18;	0.5189
625.48;	0.5208
625.79;	0.5228
626.09;	0.5247
626.39;	0.5267
626.70;	0.5286
627.00;	0.5306
627.30;	0.5325
627.61;	0.5344
627.91;	0.5364
628.21;	0.5383
628.52;	0.5402
628.82;	0.5421
629.12;	0.5440
629.43;	0.5459
629.73;	0.5478
630.04;	0.5497
630.34;	0.5516
630.64;	0.5535
630.95;	0.5554
631.25;	0.5573
631.55;	0.5591
631.86;	0.5610
632.16;	0.5629
632.46;	0.5647
632.77;	0.5666
633.07;	0.5684
633.38;	0.5703
633.68;	0.5721
633.98;	0.5739
634.29;	0.5757
634.59;	0.5776
634.89;	0.5794
635.20;	0.5812
635.50;	0.5830
635.80;	0.5848
636.11;	0.5865
636.41;	0.5883
636.71;	0.5901
637.02;	0.5918
637.32;	0.5936
637.62;	0.5954
637.93;	0.5971
638.23;	0.5988
638.54;	0.6006
638.84;	0.6023
639.14;	0.6040
639.45;	0.6057
639.75;	0.6074
640.05;	0.6091
640.36;	0.6108
640.66;	0.6124
640.96;	0.6141
641.27;	0.6158
641.57;	0.6174
641.88;	0.6191
642.18;	0.6207
642.48;	0.6223
642.79;	0.6239
