wavelength, nm;	absorption
363.00;	0.3999
363.43;	0.4095
363.87;	0.4193
364.30;	0.4292
364.74;	0.4393
365.17;	0.4496
365.60;	0.4601
366.04;	0.4707
366.47;	0.4816
366.91;	0.4926
367.34;	0.5038
367.77;	0.5152
368.21;	0.5268
368.64;	0.5385
369.07;	0.5505
369.51;	0.5627
369.94;	0.5750
370.38;	0.5876
370.81;	0.6003
371.24;	0.6133
371.68;	0.6264
372.11;	0.6397
372.55;	0.6533
372.98;	0.6670
373.41;	0.6809
373.85;	0.6951
374.28;	0.7094
374.72;	0.7240
375.15;	0.7387
375.58;	0.7536
376.02;	0.7688
376.45;	0.7841
376.89;	0.7997
377.32;	0.8154
377.75;	0.8314
378.19;	0.8475
378.62;	0.8639
379.06;	0.8804
379.49;	0.8972
379.92;	0.9141
380.36;	0.9313
380.79;	0.9486
381.22;	0.9662
381.66;	0.9839
382.09;	1.0019
382.53;	1.0200
382.96;	1.0383
383.39;	1.0568
383.83;	1.0755
384.26;	1.0944
384.70;	1.1135
385.13;	1.1328
385.56;	1.1522
386.00;	1.1719
386.43;	1.1917
386.87;	1.2117
387.30;	1.2318
387.73;	1.2521
388.17;	1.2727
388.60;	1.2933
389.04;	1.3142
389.47;	1.3352
389.90;	1.3563
390.34;	1.3776
390.77;	1.3991
391.21;	1.4207
391.64;	1.4425
392.07;	1.4644
392.51;	1.4864
392.94;	1.5086
393.37;	1.5309
393.81;	1.5533
394.24;	1.5759
394.68;	1.5985
395.11;	1.6213
395.54;	1.6442
395.98;	1.6672
396.41;	1.6903
396.85;	1.7135
397.28;	1.7368
397.71;	1.7602
398.15;	1.7837
398.58;	1.8072
399.02;	1.8308
399.45;	1.8545
399.88;	1.8783
400.32;	1.9021
400.75;	1.9259
401.19;	1.9498
401.62;	1.9737
402.05;	1.9977
402.49;	2.0217
402.92;	2.0457
403.36;	2.0697
403.79;	2.0938
404.22;	2.1178
404.66;	2.1419
405.09;	2.1659
405.52;	2.1899
405.96;	2.2139
406.39;	2.2379
406.83;	2.2618
407.26;	2.2857
407.69;	2.3095
408.13;	2.3333
408.56;	2.3570
409.00;	2.3807
409.43;	2.4042
409.86;	2.4277
410.30;	2.4511
410.73;	2.4744
411.17;	2.4976
411.60;	2.5207
412.03;	2.5437
412.47;	2.5665
412.90;	2.5892
413.34;	2.6118
413.77;	2.6342
414.20;	2.6565
414.64;	2.6786
415.07;	2.7005
415.50;	2.7223
415.94;	2.7439
416.37;	2.7653
416.81;	2.7865
417.24;	2.8075
417.67;	2.8282
418.11;	2.8488
418.54;	2.8691
418.98;	2.8892
419.41;	2.9091
419.84;	2.9287
420.28;	2.9481
420.71;	2.9672
421.15;	2.9861
421.58;	3.0047
422.01;	3.0230
422.45;	3.0410
422.88;	3.0587
423.32;	3.0761
423.75;	3.0932
424.18;	3.1100
424.62;	3.1265
425.05;	3.1427
425.49;	3.1585
425.92;	3.1740
426.35;	3.1892
426.79;	3.2040
427.22;	3.2185
427.65;	3.2326
428.09;	3.2464
428.52;	3.2598
428.96;	3.2728
429.39;	3.2854
429.82;	3.2977
430.26;	3.3096
430.69;	3.3210
431.13;	3.3321
431.56;	3.3428
431.99;	3.3531
432.43;	3.3630
432.86;	3.3724
433.30;	3.3815
433.73;	3.3901
434.16;	3.3984
434.60;	3.4061
435.03;	3.4135
435.47;	3.4204
435.90;	3.4269
436.33;	3.4330
436.77;	3.4386
437.20;	3.4438
437.64;	3.4486
438.07;	3.4529
438.50;	3.4567
438.94;	3.4601
439.37;	3.4631
439.80;	3.4656
440.24;	3.4677
440.67;	3.4693
441.11;	3.4705
441.54;	3.4712
441.97;	3.4714
442.41;	3.4712
442.84;	3.4706
443.28;	3.4695
443.71;	3.4679
444.14;	3.4659
444.58;	3.4635
445.01;	3.4606
445.45;	3.4572
445.88;	3.4534
446.31;	3.4492
446.75;	3.4445
447.18;	3.4393
447.62;	3.4338
448.05;	3.4277
448.48;	3.4213
448.92;	3.4144
449.35;	3.4071
449.79;	3.3994
450.22;	3.3912
450.65;	3.3826
451.09;	3.3736
451.52;	3.3642
451.95;	3.3544
452.39;	3.3442
452.82;	3.3335
453.26;	3.3225
453.69;	3.3111
454.12;	3.2992
454.56;	3.2870
454.99;	3.2744
455.43;	3.2615
455.86;	3.2481
456.29;	3.2344
456.73;	3.2204
457.16;	3.2059
457.60;	3.1912
458.03;	3.1760
458.46;	3.1606
458.90;	3.1448
459.33;	3.1287
459.77;	3.1122
460.20;	3.0954
460.63;	3.0784
461.07;	3.0610
461.50;	3.0433
461.93;	3.0253
462.37;	3.0071
462.80;	2.9885
463.24;	2.9697
463.67;	2.9506
464.10;	2.9313
464.54;	2.9117
464.97;	2.8919
465.41;	2.8718
465.84;	2.8515
466.27;	2.8310
466.71;	2.8102
467.14;	2.7893
467.58;	2.7681
468.01;	2.7467
468.44;	2.7252
468.88;	2.7035
