wavelength, nm;	absorption
404.00;	1.0732
404.31;	1.0820
404.62;	1.0909
404.94;	1.0997
405.25;	1.1085
405.56;	1.1173
405.87;	1.1261
406.19;	1.1349
406.50;	1.1437
406.81;	1.1525
407.12;	1.1613
407.44;	1.1700
407.75;	1.1788
408.06;	1.1875
408.37;	1.1962
408.69;	1.2049
409.00;	1.2136
409.31;	1.2222
409.62;	1.2309
409.94;	1.2395
410.25;	1.2481
410.56;	1.2566
410.87;	1.2652
411.19;	1.2737
411.50;	1.2822
411.81;	1.2906
412.12;	1.2990
412.44;	1.3074
412.75;	1.3158
413.06;	1.3241
413.37;	1.3324
413.68;	1.3406
414.00;	1.3488
414.31;	1.3570
414.62;	1.3651
414.93;	1.3731
415.25;	1.3812
415.56;	1.3891
415.87;	1.3971
416.18;	1.4049
416.50;	1.4128
416.81;	1.4205
417.12;	1.4283
417.43;	1.4359
417.75;	1.4435
418.06;	1.4511
418.37;	1.4586
418.68;	1.4660
419.00;	1.4734
419.31;	1.4807
419.62;	1.4879
419.93;	1.4951
420.25;	1.5022
420.56;	1.5093
420.87;	1.5162
421.18;	1.5231
421.49;	1.5300
421.81;	1.5367
422.12;	1.5434
422.43;	1.5500
422.74;	1.5566
423.06;	1.5630
423.37;	1.5694
423.68;	1.5757
423.99;	1.5819
424.31;	1.5880
424.62;	1.5941
424.93;	1.6000
425.24;	1.6059
425.56;	1.6117
425.87;	1.6174
426.18;	1.6230
426.49;	1.6285
426.81;	1.6339
427.12;	1.6393
427.43;	1.6445
427.74;	1.6497
428.06;	1.6547
428.37;	1.6597
428.68;	1.6645
428.99;	1.6693
429.31;	1.6740
429.62;	1.6785
429.93;	1.6830
430.24;	1.6873
430.55;	1.6916
430.87;	1.6957
431.18;	1.6998
431.49;	1.7037
431.80;	1.7076
432.12;	1.7113
432.43;	1.7149
432.74;	1.7184
433.05;	1.7218
433.37;	1.7251
433.68;	1.7283
433.99;	1.7314
434.30;	1.7343
434.62;	1.7372
434.93;	1.7399
435.24;	1.7426
435.55;	1.7451
435.87;	1.7475
436.18;	1.7497
436.49;	1.7519
436.80;	1.7540
437.12;	1.7559
437.43;	1.7577
437.74;	1.7594
438.05;	1.7610
438.36;	1.7625
438.68;	1.7638
438.99;	1.7651
439.30;	1.7662
439.61;	1.7672
439.93;	1.7680
440.24;	1.7688
440.55;	1.7694
440.86;	1.7700
441.18;	1.7704
441.49;	1.7706
441.80;	1.7708
442.11;	1.7709
442.43;	1.7708
442.74;	1.7706
443.05;	1.7703
443.36;	1.7698
443.68;	1.7693
443.99;	1.7686
444.30;	1.7678
444.61;	1.7669
444.93;	1.7659
445.24;	1.7648
445.55;	1.7635
445.86;	1.7621
446.18;	1.7606
446.49;	1.7590
446.80;	1.7573
447.11;	1.7555
447.42;	1.7535
447.74;	1.7514
448.05;	1.7492
448.36;	1.7469
448.67;	1.7445
448.99;	1.7420
449.30;	1.7393
449.61;	1.7366
449.92;	1.7337
450.24;	1.7307
450.55;	1.7276
450.86;	1.7244
451.17;	1.7211
451.49;	1.7177
451.80;	1.7142
452.11;	1.7105
452.42;	1.7068
452.74;	1.7030
453.05;	1.6990
453.36;	1.6950
453.67;	1.6908
453.99;	1.6865
454.30;	1.6822
454.61;	1.6777
454.92;	1.6731
455.24;	1.6685
455.55;	1.6637
455.86;	1.6589
456.17;	1.6539
456.48;	1.6489
456.80;	1.6437
457.11;	1.6385
457.42;	1.6331
457.73;	1.6277
458.05;	1.6222
458.36;	1.6166
458.67;	1.6109
458.98;	1.6051
459.30;	1.5993
459.61;	1.5933
459.92;	1.5873
460.23;	1.5812
460.55;	1.5750
460.86;	1.5687
461.17;	1.5624
461.48;	1.5560
461.80;	1.5495
462.11;	1.5429
462.42;	1.5362
462.73;	1.5295
463.05;	1.5227
463.36;	1.5158
463.67;	1.5089
463.98;	1.5019
464.29;	1.4948
464.61;	1.4877
464.92;	1.4805
465.23;	1.4732
465.54;	1.4659
465.86;	1.4585
466.17;	1.4511
466.48;	1.4436
466.79;	1.4361
