wavelength, nm;	absorption
394.00;	1.4111
394.35;	1.4275
394.70;	1.4440
395.05;	1.4605
395.40;	1.4771
395.75;	1.4938
396.09;	1.5105
396.44;	1.5273
396.79;	1.5442
397.14;	1.5611
397.49;	1.5780
397.84;	1.5950
398.19;	1.6121
398.54;	1.6292
398.89;	1.6463
399.24;	1.6635
399.59;	1.6807
399.93;	1.6980
400.28;	1.7153
400.63;	1.7326
400.98;	1.7499
401.33;	1.7673
401.68;	1.7847
402.03;	1.8021
402.38;	1.8195
402.73;	1.8369
403.08;	1.8544
403.42;	1.8718
403.77;	1.8893
404.12;	1.9067
404.47;	1.9242
404.82;	1.9416
405.17;	1.9591
405.52;	1.9765
405.87;	1.9939
406.22;	2.0114
406.57;	2.0287
406.92;	2.0461
407.26;	2.0634
407.61;	2.0808
407.96;	2.0980
408.31;	2.1153
408.66;	2.1325
409.01;	2.1497
409.36;	2.1668
409.71;	2.1839
410.06;	2.2009
410.41;	2.2178
410.76;	2.2348
411.10;	2.2516
411.45;	2.2684
411.80;	2.2851
412.15;	2.3018
412.50;	2.3183
412.85;	2.3348
413.20;	2.3512
413.55;	2.3676
413.90;	2.3838
414.25;	2.3999
414.59;	2.4160
414.94;	2.4320
415.29;	2.4478
415.64;	2.4636
415.99;	2.4792
416.34;	2.4947
416.69;	2.5102
417.04;	2.5255
417.39;	2.5406
417.74;	2.5557
418.09;	2.5706
418.43;	2.5854
418.78;	2.6001
419.13;	2.6146
419.48;	2.6290
419.83;	2.6432
420.18;	2.6573
420.53;	2.6713
420.88;	2.6851
421.23;	2.6987
421.58;	2.7122
421.93;	2.7255
422.27;	2.7386
422.62;	2.7516
422.97;	2.7644
423.32;	2.7770
423.67;	2.7895
424.02;	2.8018
424.37;	2.8138
424.72;	2.8257
425.07;	2.8375
425.42;	2.8490
425.76;	2.8603
426.11;	2.8714
426.46;	2.8824
426.81;	2.8931
427.16;	2.9036
427.51;	2.9139
427.86;	2.9240
428.21;	2.9339
428.56;	2.9436
428.91;	2.9531
429.26;	2.9623
429.60;	2.9713
429.95;	2.9801
430.30;	2.9887
430.65;	2.9970
431.00;	3.0051
431.35;	3.0130
431.70;	3.0207
432.05;	3.0281
432.40;	3.0352
432.75;	3.0422
433.10;	3.0488
433.44;	3.0553
433.79;	3.0615
434.14;	3.0674
434.49;	3.0732
434.84;	3.0786
435.19;	3.0838
435.54;	3.0888
435.89;	3.0935
436.24;	3.0979
436.59;	3.1021
436.93;	3.1061
437.28;	3.1097
437.63;	3.1132
437.98;	3.1163
438.33;	3.1192
438.68;	3.1219
439.03;	3.1243
439.38;	3.1264
439.73;	3.1282
440.08;	3.1298
440.43;	3.1312
440.77;	3.1322
441.12;	3.1330
441.47;	3.1336
441.82;	3.1338
442.17;	3.1338
442.52;	3.1336
442.87;	3.1331
443.22;	3.1323
443.57;	3.1312
443.92;	3.1299
444.27;	3.1284
444.61;	3.1265
444.96;	3.1244
445.31;	3.1221
445.66;	3.1195
446.01;	3.1166
446.36;	3.1134
446.71;	3.1100
447.06;	3.1064
447.41;	3.1025
447.76;	3.0983
448.10;	3.0939
448.45;	3.0892
448.80;	3.0842
449.15;	3.0791
449.50;	3.0736
449.85;	3.0679
450.20;	3.0620
450.55;	3.0558
450.90;	3.0494
451.25;	3.0427
451.60;	3.0358
451.94;	3.0287
452.29;	3.0213
452.64;	3.0137
452.99;	3.0058
453.34;	2.9977
453.69;	2.9894
454.04;	2.9809
454.39;	2.9721
454.74;	2.9631
455.09;	2.9539
455.44;	2.9445
455.78;	2.9348
456.13;	2.9249
456.48;	2.9148
456.83;	2.9046
457.18;	2.8941
457.53;	2.8834
457.88;	2.8725
458.23;	2.8613
458.58;	2.8500
458.93;	2.8386
459.28;	2.8269
459.62;	2.8150
459.97;	2.8029
460.32;	2.7907
460.67;	2.7783
461.02;	2.7656
461.37;	2.7529
461.72;	2.7399
462.07;	2.7268
462.42;	2.7135
462.77;	2.7001
463.11;	2.6865
463.46;	2.6727
463.81;	2.6588
464.16;	2.6447
464.51;	2.6305
464.86;	2.6162
465.21;	2.6017
465.56;	2.5870
465.91;	2.5723
466.26;	2.5574
466.61;	2.5423
466.95;	2.5272
467.30;	2.5119
467.65;	2.4965
468.00;	2.4810
468.35;	2.4654
468.70;	2.4497
469.05;	2.4339
469.40;	2.4179
469.75;	2.4019
470.10;	2.3858
470.45;	2.3696
470.79;	2.3533
471.14;	2.3369
471.49;	2.3205
471.84;	2.3039
472.19;	2.2873
472.54;	2.2706
472.89;	2.2539
473.24;	2.2371
473.59;	2.2202
473.94;	2.2033
474.28;	2.1863
474.63;	2.1692
474.98;	2.1521
475.33;	2.1350
475.68;	2.1178
476.03;	2.1006
476.38;	2.0834
476.73;	2.0661
477.08;	2.0488
477.43;	2.0315
477.78;	2.0141
478.12;	1.9968
478.47;	1.9794
478.82;	1.9620
479.17;	1.9446
479.52;	1.9272
479.87;	1.9098
480.22;	1.8924
480.57;	1.8749
480.92;	1.8575
481.27;	1.8401
481.62;	1.8228
481.96;	1.8054
482.31;	1.7880
482.66;	1.7707
483.01;	1.7534
483.36;	1.7361
483.71;	1.7188
484.06;	1.7016
484.41;	1.6844
484.76;	1.6672
485.11;	1.6501
485.45;	1.6330
485.80;	1.6160
486.15;	1.5990
486.50;	1.5820
486.85;	1.5651
487.20;	1.5483
487.55;	1.5315
487.90;	1.5148
488.25;	1.4981
488.60;	1.4815
488.95;	1.4649
489.29;	1.4484
489.64;	1.4320
489.99;	1.4157
490.34;	1.3994
490.69;	1.3832
491.04;	1.3671
491.39;	1.3510
491.74;	1.3350
492.09;	1.3192
492.44;	1.3034
492.79;	1.2876
493.13;	1.2720
493.48;	1.2564
493.83;	1.2410
494.18;	1.2256
494.53;	1.2103
494.88;	1.1952
495.23;	1.1801
495.58;	1.1651
495.93;	1.1502
496.28;	1.1354
496.62;	1.1207
496.97;	1.1061
497.32;	1.0916
497.67;	1.0772
498.02;	1.0629
498.37;	1.0488
498.72;	1.0347
499.07;	1.0207
499.42;	1.0069
499.77;	0.9931
500.12;	0.9795
500.46;	0.9660
500.81;	0.9526
501.16;	0.9393
501.51;	0.9261
501.86;	0.9130
502.21;	0.9001
502.56;	0.8872
502.91;	0.8745
503.26;	0.8619
503.61;	0.8494
503.96;	0.8370
504.30;	0.8247
504.65;	0.8126
505.00;	0.8006
505.35;	0.7887
505.70;	0.7769
506.05;	0.7652
506.40;	0.7537
506.75;	0.7422
507.10;	0.7309
507.45;	0.7197
507.79;	0.7086
508.14;	0.6977
508.49;	0.6869
508.84;	0.6761
509.19;	0.6655
509.54;	0.6551
509.89;	0.6447
510.24;	0.6345
510.59;	0.6244
510.94;	0.6144
511.29;	0.6045
511.63;	0.5947
511.98;	0.5851
512.33;	0.5755
512.68;	0.5661
513.03;	0.5568
513.38;	0.5476
513.73;	0.5386
514.08;	0.5296
514.43;	0.5208
514.78;	0.5121
515.13;	0.5035
515.47;	0.4950
515.82;	0.4866
516.17;	0.4783
516.52;	0.4702
516.87;	0.4621
517.22;	0.4542
517.57;	0.4464
517.92;	0.4387
518.27;	0.4311
518.62;	0.4236
518.97;	0.4162
519.31;	0.4089
519.66;	0.4018
520.01;	0.3947
520.36;	0.3877
520.71;	0.3809
521.06;	0.3741
