wavelength, nm;	absorption
370.00;	0.5873
370.26;	0.5948
370.51;	0.6024
370.77;	0.6101
371.02;	0.6178
371.28;	0.6256
371.53;	0.6335
371.79;	0.6414
372.04;	0.6494
372.30;	0.6575
372.56;	0.6656
372.81;	0.6738
373.07;	0.6821
373.32;	0.6905
373.58;	0.6989
373.83;	0.7074
374.09;	0.7160
374.34;	0.7246
374.60;	0.7333
374.85;	0.7421
375.11;	0.7509
375.37;	0.7599
375.62;	0.7689
375.88;	0.7779
376.13;	0.7871
376.39;	0.7963
376.64;	0.8055
376.90;	0.8149
377.15;	0.8243
377.41;	0.8338
377.67;	0.8434
377.92;	0.8530
378.18;	0.8627
378.43;	0.8725
378.69;	0.8824
378.94;	0.8923
379.20;	0.9023
379.45;	0.9123
379.71;	0.9225
379.96;	0.9327
380.22;	0.9429
380.48;	0.9533
380.73;	0.9637
380.99;	0.9742
381.24;	0.9847
381.50;	0.9953
381.75;	1.0060
382.01;	1.0168
382.26;	1.0276
382.52;	1.0385
382.78;	1.0495
383.03;	1.0605
383.29;	1.0716
383.54;	1.0828
383.80;	1.0940
384.05;	1.1053
384.31;	1.1167
384.56;	1.1281
384.82;	1.1396
385.08;	1.1512
385.33;	1.1628
385.59;	1.1745
385.84;	1.1862
386.10;	1.1981
386.35;	1.2099
386.61;	1.2219
386.86;	1.2339
387.12;	1.2460
387.37;	1.2581
387.63;	1.2703
387.89;	1.2825
388.14;	1.2949
388.40;	1.3072
388.65;	1.3197
388.91;	1.3321
389.16;	1.3447
389.42;	1.3573
389.67;	1.3699
389.93;	1.3826
390.19;	1.3954
390.44;	1.4082
390.70;	1.4211
390.95;	1.4340
391.21;	1.4470
391.46;	1.4600
391.72;	1.4731
391.97;	1.4863
392.23;	1.4994
392.49;	1.5127
392.74;	1.5259
393.00;	1.5393
393.25;	1.5526
393.51;	1.5661
393.76;	1.5795
394.02;	1.5930
394.27;	1.6066
394.53;	1.6202
394.78;	1.6338
395.04;	1.6475
395.30;	1.6612
395.55;	1.6749
395.81;	1.6887
396.06;	1.7025
396.32;	1.7164
