wavelength, nm;	absorption
354.00;	0.1660
354.29;	0.1689
354.58;	0.1719
354.87;	0.1749
355.16;	0.1780
355.45;	0.1811
355.73;	0.1843
356.02;	0.1875
356.31;	0.1908
356.60;	0.1941
356.89;	0,1974
357.18;	0.2008
357.47;	0.2042
357.76;	0.2077
358.05;	0.2112
358.34;	0.2148
358.63;	0.2184
358.92;	0.2221
359.20;	0.2258
359.49;	0.2296
359.78;	0.2334
360.07;	0.2373
360.36;	0.2412
360.65;	0.2451
360.94;	0.2492
361.23;	0.2532
361.52;	0.2574
361.81;	0.2615
362.10;	0.2658
362.39;	0.2700
362.67;	0.2744
362.96;	0.2788
363.25;	0.2832
363.54;	0.2877
363.83;	0.2922
364.12;	0.2968
364.41;	0.3015
364.70;	0.3062
364.99;	0.3110
365.28;	0.3158
365.57;	0.3207
365.86;	0.3256
366.14;	0.3306
366.43;	0.3357
366.72;	0.3408
367.01;	0.3459
367.30;	0.3511
367.59;	0.3564
367.88;	0.3618
368.17;	0.3672
368.46;	0.3726
368.75;	0.3781
369.04;	0.3837
369.32;	0.3894
369.61;	0.3951
369.90;	0.4008
370.19;	0.4066
370.48;	0.4125
370.77;	0.4184
371.06;	0.4244
371.35;	0.4305
371.64;	0.4366
371.93;	0.4428
372.22;	0.4490
372.51;	0.4554
372.79;	0.4617
373.08;	0.4682
373.37;	0.4746
373.66;	0.4812
373.95;	0.4878
374.24;	0.4945
374.53;	0.5012
374.82;	0.5080
375.11;	0.5149
375.40;	0.5218
375.69;	0.5288
375.98;	0.5359
376.26;	0.5430
376.55;	0.5502
376.84;	0.5574
377.13;	0.5647
377.42;	0.5721
377.71;	0.5795
378.00;	0.5870
378.29;	0.5946
378.58;	0.6022
378.87;	0.6099
379.16;	0.6176
379.45;	0.6254
379.73;	0.6333
380.02;	0.6412
380.31;	0.6492
380.60;	0.6572
380.89;	0.6653
381.18;	0.6735
381.47;	0.6817
381.76;	0.6900
382.05;	0.6984
382.34;	0.7068
382.63;	0.7153
382.91;	0.7238
383.20;	0.7324
383.49;	0.7411
383.78;	0.7498
384.07;	0.7585
384.36;	0.7674
384.65;	0.7763
384.94;	0.7852
385.23;	0.7942
385.52;	0.8033
385.81;	0.8124
386.10;	0.8215
386.38;	0.8308
386.67;	0.8400
386.96;	0.8494
387.25;	0.8588
387.54;	0.8682
387.83;	0.8777
388.12;	0.8872
388.41;	0.8968
388.70;	0.9065
388.99;	0.9162
389.28;	0.9259
389.57;	0.9357
389.85;	0.9456
390.14;	0.9555
390.43;	0.9654
390.72;	0.9754
391.01;	0.9855
391.30;	0.9956
391.59;	1.0057
391.88;	1.0159
392.17;	1.0261
392.46;	1.0363
392.75;	1.0466
393.04;	1.0570
393.32;	1.0674
393.61;	1.0778
393.90;	1.0883
394.19;	1.0988
394.48;	1.1093
394.77;	1.1199
395.06;	1.1305
395.35;	1.1411
395.64;	1.1518
395.93;	1.1625
396.22;	1.1733
396.50;	1.1840
396.79;	1.1948
397.08;	1.2057
397.37;	1.2165
397.66;	1.2274
397.95;	1.2383
398.24;	1.2492
398.53;	1.2602
398.82;	1.2712
399.11;	1.2822
399.40;	1.2932
399.69;	1.3043
399.97;	1.3153
400.26;	1.3264
400.55;	1.3375
400.84;	1.3486
401.13;	1.3597
401.42;	1.3709
401.71;	1.3820
402.00;	1.3932
402.29;	1.4043
402.58;	1.4155
402.87;	1.4267
403.16;	1.4379
403.44;	1.4490
403.73;	1.4602
404.02;	1.4714
404.31;	1.4826
404.60;	1.4938
404.89;	1.5050
405.18;	1.5162
405.47;	1,5273
405.76;	1.5385
406.05;	1.5497
406.34;	1.5608
406.63;	1.5720
406.91;	1.5831
407.20;	1.5942
407.49;	1.6053
407.78;	1.6164
408.07;	1.6275
408.36;	1.6385
408.65;	1.6496
408.94;	1.6606
409.23;	1.6715
409.52;	1.6825
409.81;	1.6934
410.09;	1.7043
410.38;	1.7152
410.67;	1.7261
410.96;	1.7369
411.25;	1.7477
411.54;	1.7584
411.83;	1.7691
412.12;	1.7798
412.41;	1.7904
412.70;	1.8010
412.99;	1.8116
413.28;	1.8221
413.56;	1.8325
413.85;	1.8429
414.14;	1.8533
