wavelength, nm;	absorption
391.00;	1.3245
391.27;	1.3373
391.55;	1.3501
391.82;	1.3630
392.09;	1.3759
392.36;	1.3889
392.64;	1.4020
392.91;	1.4151
393.18;	1.4282
393.45;	1.4414
393.73;	1.4546
394.00;	1.4679
394.27;	1.4812
394.54;	1.4946
394.82;	1.5080
395.09;	1.5214
395.36;	1.5349
395.63;	1.5484
395.91;	1.5620
396.18;	1.5756
396.45;	1.5893
396.72;	1.6030
397.00;	1.6167
397.27;	1.6304
397.54;	1.6442
397.81;	1.6580
398.09;	1.6719
398.36;	1.6857
398.63;	1.6996
398.90;	1.7135
399.18;	1.7275
399.45;	1.7415
399.72;	1.7555
399.99;	1.7695
400.27;	1.7835
400.54;	1.7976
400.81;	1.8117
401.08;	1.8258
401.36;	1.8399
401.63;	1.8540
401.90;	1.8681
402.17;	1.8823
402.45;	1.8964
402.72;	1.9106
402.99;	1.9247
403.26;	1.9389
403.54;	1.9531
403.81;	1.9673
404.08;	1.9815
404.35;	1.9956
404.63;	2.0098
404.90;	2.0240
405.17;	2.0382
405.44;	2.0523
405.72;	2.0665
405.99;	2.0806
406.26;	2.0948
406.53;	2.1089
406.81;	2.1230
407.08;	2.1371
407.35;	2.1512
407.62;	2.1652
407.90;	2.1793
408.17;	2.1933
408.44;	2.2073
408.72;	2.2212
408.99;	2.2352
409.26;	2.2491
409.53;	2.2630
409.81;	2.2768
410.08;	2.2906
410.35;	2.3044
410.62;	2.3182
410.90;	2.3319
411.17;	2.3456
411.44;	2.3592
411.71;	2.3728
411.99;	2.3863
412.26;	2.3998
412.53;	2.4133
412.80;	2.4267
413.08;	2.4400
413.35;	2.4533
413.62;	2.4665
413.89;	2.4797
414.17;	2.4928
414.44;	2.5059
414.71;	2.5189
414.98;	2.5319
415.26;	2.5447
415.53;	2.5575
415.80;	2.5703
416.07;	2.5830
416.35;	2.5956
416.62;	2.6081
416.89;	2.6206
417.16;	2.6329
417.44;	2.6452
417.71;	2.6575
417.98;	2.6696
418.25;	2.6817
418.53;	2.6937
418.80;	2.7055
419.07;	2.7173
419.34;	2.7291
419.62;	2.7407
419.89;	2.7522
420.16;	2.7637
420.43;	2.7750
420.71;	2.7863
420.98;	2.7974
421.25;	2.8085
421.52;	2.8194
421.80;	2.8302
422.07;	2.8410
422.34;	2.8516
422.61;	2.8621
422.89;	2.8726
423.16;	2.8829
423.43;	2.8931
423.70;	2.9032
423.98;	2.9131
424.25;	2.9230
424.52;	2.9327
424.79;	2.9423
425.07;	2.9518
425.34;	2.9612
425.61;	2.9704
425.89;	2.9796
426.16;	2.9886
426.43;	2.9974
426.70;	3.0062
426.98;	3.0148
427.25;	3.0233
427.52;	3.0316
427.79;	3.0399
428.07;	3.0480
428.34;	3.0559
428.61;	3.0637
428.88;	3.0714
429.16;	3.0789
429.43;	3.0863
429.70;	3.0936
429.97;	3.1007
430.25;	3.1077
430.52;	3.1145
430.79;	3.1212
431.06;	3.1277
431.34;	3.1341
431.61;	3.1403
431.88;	3.1464
432.15;	3.1523
432.43;	3.1581
432.70;	3.1638
432.97;	3.1692
433.24;	3.1746
433.52;	3.1797
433.79;	3.1847
434.06;	3.1896
434.33;	3.1943
434.61;	3.1989
434.88;	3.2032
435.15;	3.2075
435.42;	3.2115
435.70;	3.2155
435.97;	3.2192
436.24;	3.2228
436.51;	3.2262
436.79;	3.2295
437.06;	3.2326
437.33;	3.2355
437.60;	3.2383
437.88;	3.2409
438.15;	3.2433
438.42;	3.2456
438.69;	3.2477
438.97;	3.2497
439.24;	3.2515
439.51;	3.2531
439.78;	3.2545
440.06;	3.2558
440.33;	3.2569
440.60;	3.2579
440.87;	3.2586
441.15;	3.2592
441.42;	3.2597
441.69;	3.2600
441.96;	3.2601
442.24;	3.2600
442.51;	3.2598
442.78;	3.2594
443.06;	3.2588
443.33;	3.2581
443.60;	3.2572
443.87;	3.2562
444.15;	3.2549
444.42;	3.2535
444.69;	3.2520
444.96;	3.2502
445.24;	3.2483
445.51;	3.2463
445.78;	3.2441
446.05;	3.2417
446.33;	3.2391
446.60;	3.2364
446.87;	3.2335
447.14;	3.2305
447.42;	3.2272
447.69;	3.2239
447.96;	3.2203
448.23;	3.2166
448.51;	3.2128
448.78;	3.2088
449.05;	3.2046
449.32;	3.2002
449.60;	3.1957
449.87;	3.1911
450.14;	3.1863
450.41;	3.1813
450.69;	3.1762
450.96;	3.1709
451.23;	3.1655
451.50;	3.1599
451.78;	3.1542
452.05;	3.1483
452.32;	3.1422
452.59;	3.1361
452.87;	3.1297
453.14;	3.1232
453.41;	3.1166
453.68;	3.1098
453.96;	3.1029
454.23;	3.0958
454.50;	3.0886
454.77;	3.0813
455.05;	3.0738
455.32;	3.0662
455.59;	3.0584
455.86;	3.0505
456.14;	3.0425
456.41;	3.0343
456.68;	3.0260
456.95;	3.0175
457.23;	3.0090
457.50;	3.0003
457.77;	2.9914
458.04;	2.9825
458.32;	2.9734
458.59;	2.9642
458.86;	2.9549
459.13;	2.9454
459.41;	2.9358
459.68;	2.9261
459.95;	2.9163
460.23;	2.9064
460.50;	2.8964
460.77;	2.8862
461.04;	2.8759
461.32;	2.8656
461.59;	2.8551
461.86;	2.8445
462.13;	2.8338
