wavelength, nm;	absorption
364.00;	0.3996
364.24;	0.4049
364.49;	0.4102
364.73;	0.4156
364.98;	0.4211
365.22;	0.4266
365.47;	0.4322
365.71;	0.4378
365.96;	0.4435
366.20;	0.4493
366.45;	0.4551
366.69;	0.4609
366.94;	0.4668
367.18;	0.4728
367.43;	0.4788
367.67;	0.4849
367.91;	0.4910
368.16;	0.4972
368.40;	0.5035
368.65;	0.5098
368.89;	0.5162
369.14;	0.5226
369.38;	0.5291
369.63;	0.5356
369.87;	0.5422
370.12;	0.5488
370.36;	0.5556
370.61;	0.5623
370.85;	0.5692
371.10;	0.5761
371.34;	0.5830
371.59;	0.5900
371.83;	0.5971
372.07;	0.6042
372.32;	0.6114
372.56;	0.6187
372.81;	0.6260
373.05;	0.6333
373.30;	0.6408
373.54;	0.6483
373.79;	0.6558
374.03;	0.6634
374.28;	0.6711
374.52;	0.6788
374.77;	0.6866
375.01;	0.6945
375.26;	0.7024
375.50;	0.7103
375.74;	0.7184
375.99;	0.7265
376.23;	0.7346
376.48;	0.7429
376.72;	0.7511
376.97;	0.7595
377.21;	0.7679
377.46;	0.7763
377.70;	0.7848
377.95;	0.7934
378.19;	0.8021
378.44;	0.8108
378.68;	0.8195
378.93;	0.8284
379.17;	0.8372
379.41;	0.8462
379.66;	0.8552
379.90;	0.8643
380.15;	0.8734
380.39;	0.8826
380.64;	0.8918
380.88;	0.9011
381.13;	0.9105
381.37;	0.9199
381.62;	0.9294
381.86;	0.9389
382.11;	0.9485
382.35;	0.9582
382.60;	0.9679
382.84;	0.9776
383.09;	0.9875
383.33;	0.9974
383.57;	1.0073
383.82;	1.0173
384.06;	1.0274
384.31;	1.0375
384.55;	1.0476
384.80;	1.0579
385.04;	1.0682
385.29;	1.0785
385.53;	1.0889
385.78;	1.0993
386.02;	1.1098
386.27;	1.1204
386.51;	1.1310
386.76;	1.1417
387.00;	1.1524
387.24;	1.1631
387.49;	1.1739
387.73;	1.1848
387.98;	1.1957
388.22;	1.2067
388.47;	1.2177
388.71;	1.2288
388.96;	1.2399
389.20;	1.2511
389.45;	1.2623
389.69;	1.2736
389.94;	1.2849
390.18;	1.2962
390.43;	1.3076
390.67;	1.3191
390.91;	1.3306
391.16;	1.3421
391.40;	1.3537
391.65;	1.3653
391.89;	1.3770
392.14;	1.3887
392.38;	1.4005
392.63;	1.4123
392.87;	1.4241
393.12;	1.4360
393.36;	1.4479
393.61;	1.4599
393.85;	1.4718
394.10;	1.4839
394.34;	1.4959
394.59;	1.5080
394.83;	1.5202
395.07;	1.5323
395.32;	1.5445
395.56;	1.5568
395.81;	1.5690
396.05;	1.5813
396.30;	1.5937
396.54;	1.6060
396.79;	1.6184
397.03;	1.6308
397.28;	1.6432
397.52;	1.6557
397.77;	1.6682
398.01;	1.6807
398.26;	1.6933
398.50;	1.7058
398.74;	1.7184
398.99;	1.7310
399.23;	1.7436
399.48;	1.7563
399.72;	1.7689
399.97;	1.7816
400.21;	1.7943
400.46;	1.8070
400.70;	1.8198
400.95;	1.8325
401.19;	1.8453
401.44;	1.8580
401.68;	1.8708
401.93;	1.8836
402.17;	1.8964
402.41;	1.9092
402.66;	1.9220
402.90;	1.9348
403.15;	1.9476
403.39;	1.9605
403.64;	1.9733
403.88;	1.9861
404.13;	1.9989
404.37;	2.0118
404.62;	2.0246
404.86;	2.0374
405.11;	2.0502
405.35;	2.0630
405.60;	2.0759
405.84;	2.0887
406.09;	2.1014
406.33;	2.1142
406.57;	2.1270
406.82;	2.1398
407.06;	2.1525
407.31;	2.1653
407.55;	2.1780
