wavelength, nm;	absorption
389.00;	1.0760
389.44;	1.0934
389.88;	1.1109
390.31;	1.1285
390.75;	1.1462
391.19;	1.1641
391.63;	1.1821
392.07;	1.2002
392.50;	1.2185
392.94;	1.2368
393.38;	1.2552
393.82;	1.2738
394.25;	1.2925
394.69;	1.3112
395.13;	1.3301
395.57;	1.3490
396.01;	1.3681
396.44;	1.3872
396.88;	1.4064
397.32;	1.4257
397.76;	1.4450
398.20;	1.4645
398.63;	1.4839
399.07;	1.5035
399.51;	1.5231
399.95;	1.5427
400.38;	1.5624
400.82;	1.5822
401.26;	1.6019
401.70;	1.6218
402.14;	1.6416
402.57;	1.6614
403.01;	1.6813
403.45;	1.7012
403.89;	1.7211
404.33;	1.7410
404.76;	1.7609
405.20;	1.7807
405.64;	1.8006
406.08;	1.8204
406.51;	1.8403
406.95;	1.8601
407.39;	1.8798
407.83;	1.8995
408.27;	1.9192
408.70;	1.9388
409.14;	1.9583
409.58;	1.9778
410.02;	1.9972
410.46;	2.0165
410.89;	2.0358
411.33;	2.0550
411.77;	2.0740
412.21;	2.0930
412.64;	2.1118
413.08;	2.1306
413.52;	2.1492
413.96;	2.1677
414.40;	2.1861
414.83;	2.2043
415.27;	2.2224
415.71;	2.2403
416.15;	2.2581
416.59;	2.2757
417.02;	2.2932
417.46;	2.3105
417.90;	2.3276
418.34;	2.3445
418.78;	2.3612
419.21;	2.3778
419.65;	2.3941
420.09;	2.4102
420.53;	2.4261
420.96;	2.4418
421.40;	2.4573
421.84;	2.4725
422.28;	2.4875
422.72;	2.5023
423.15;	2.5168
423.59;	2.5311
424.03;	2.5451
424.47;	2.5588
424.91;	2.5723
425.34;	2.5855
425.78;	2.5984
426.22;	2.6110
426.66;	2.6234
427.09;	2.6355
427.53;	2.6472
427.97;	2.6587
428.41;	2.6699
428.85;	2.6807
429.28;	2.6913
429.72;	2.7015
430.16;	2.7114
430.60;	2.7210
431.04;	2.7302
431.47;	2.7392
431.91;	2.7477
432.35;	2.7560
432.79;	2.7639
433.22;	2.7714
433.66;	2.7786
434.10;	2.7855
434.54;	2.7920
434.98;	2.7982
435.41;	2.8040
435.85;	2.8094
436.29;	2.8144
436.73;	2.8192
437.17;	2.8235
437.60;	2.8275
438.04;	2.8311
438.48;	2.8343
438.92;	2.8371
439.36;	2.8396
439.79;	2.8417
440.23;	2.8434
440.67;	2.8448
441.11;	2.8458
441.54;	2.8464
441.98;	2.8466
442.42;	2.8464
442.86;	2.8459
443.30;	2.8450
443.73;	2.8437
444.17;	2.8420
444.61;	2.8400
445.05;	2.8376
445.49;	2.8348
445.92;	2.8316
446.36;	2.8281
446.80;	2.8242
447.24;	2.8199
447.67;	2.8153
448.11;	2.8103
448.55;	2.8049
448.99;	2.7992
449.43;	2.7931
449.86;	2.7867
450.30;	2.7799
450.74;	2.7727
451.18;	2.7652
451.62;	2.7574
452.05;	2.7492
452.49;	2.7407
452.93;	2.7318
453.37;	2.7226
453.80;	2.7131
454.24;	2.7033
454.68;	2.6931
455.12;	2.6826
455.56;	2.6719
455.99;	2.6608
456.43;	2.6494
456.87;	2.6376
457.31;	2.6256
457.75;	2.6134
458.18;	2.6008
458.62;	2.5879
459.06;	2.5748
459.50;	2.5614
459.93;	2.5477
460.37;	2.5338
460.81;	2.5196
461.25;	2.5051
461.69;	2.4904
462.12;	2.4755
462.56;	2.4603
463.00;	2.4449
463.44;	2.4293
463.88;	2.4135
464.31;	2.3974
464.75;	2.3811
465.19;	2.3647
465.63;	2.3480
466.07;	2.3312
466.50;	2.3141
466.94;	2.2969
467.38;	2.2795
467.82;	2.2620
468.25;	2.2443
468.69;	2.2264
469.13;	2.2084
469.57;	2.1902
470.01;	2.1719
470.44;	2.1535
470.88;	2.1350
471.32;	2.1163
471.76;	2.0975
472.20;	2.0786
472.63;	2.0596
473.07;	2.0406
473.51;	2.0214
473.95;	2.0021
474.38;	1.9828
474.82;	1.9634
475.26;	1.9439
475.70;	1.9244
476.14;	1.9048
476.57;	1.8852
477.01;	1.8655
477.45;	1.8458
477.89;	1.8261
478.33;	1.8064
478.76;	1.7866
479.20;	1.7668
479.64;	1.7470
480.08;	1.7272
480.51;	1.7074
480.95;	1.6876
481.39;	1.6678
481.83;	1.6481
482.27;	1.6283
482.70;	1.6086
483.14;	1.5889
483.58;	1.5693
484.02;	1.5497
484.46;	1.5302
484.89;	1.5107
485.33;	1.4912
485.77;	1.4719
486.21;	1.4526
486.64;	1.4333
487.08;	1.4141
487.52;	1.3951
487.96;	1.3760
488.40;	1.3571
488.83;	1.3383
489.27;	1.3196
489.71;	1.3009
490.15;	1.2824
490.59;	1.2639
491.02;	1.2456
491.46;	1.2274
491.90;	1.2093
492.34;	1.1913
492.78;	1.1735
493.21;	1.1557
493.65;	1.1381
494.09;	1.1206
494.53;	1.1033
494.96;	1.0861
495.40;	1.0690
495.84;	1.0521
496.28;	1.0353
496.72;	1.0186
497.15;	1.0021
497.59;	0.9857
498.03;	0.9695
498.47;	0.9535
498.91;	0.9376
499.34;	0.9218
499.78;	0.9063
500.22;	0.8908
500.66;	0.8756
501.09;	0.8605
501.53;	0.8455
501.97;	0.8307
502.41;	0.8161
502.85;	0.8017
503.28;	0.7874
503.72;	0.7733
504.16;	0.7594
504.60;	0.7456
505.04;	0.7320
505.47;	0.7185
505.91;	0.7053
506.35;	0.6922
506.79;	0.6793
507.22;	0.6665
507.66;	0.6540
508.10;	0.6415
508.54;	0.6293
508.98;	0.6173
509.41;	0.6054
509.85;	0.5937
510.29;	0.5821
510.73;	0.5707
511.17;	0.5595
511.60;	0.5485
512.04;	0.5377
512.48;	0.5270
512.92;	0.5164
513.36;	0.5061
513.79;	0.4959
514.23;	0.4859
514.67;	0.4760
515.11;	0.4663
515.54;	0.4568
515.98;	0.4475
516.42;	0.4383
516.86;	0.4292
517.30;	0.4204
517.73;	0.4116
518.17;	0.4031
518.61;	0.3947
519.05;	0.3865
519.49;	0.3784
519.92;	0.3704
520.36;	0.3627
520.80;	0.3550
521.24;	0.3476
521.67;	0.3402
522.11;	0.3330
522.55;	0.3260
522.99;	0.3191
523.43;	0.3124
523.86;	0.3058
524.30;	0.2993
524.74;	0.2930
525.18;	0.2868
525.62;	0.2807
526.05;	0.2748
526.49;	0.2690
526.93;	0.2633
527.37;	0.2578
527.80;	0.2524
528.24;	0.2471
528.68;	0.2420
529.12;	0.2370
529.56;	0.2321
529.99;	0.2273
530.43;	0.2226
530.87;	0.2181
531.31;	0.2136
531.75;	0.2093
532.18;	0.2051
532.62;	0.2010
533.06;	0.1970
533.50;	0.1931
533.93;	0.1894
534.37;	0.1857
534.81;	0.1821
535.25;	0.1787
535.69;	0.1753
536.12;	0.1720
536.56;	0.1689
537.00;	0.1658
537.44;	0.1628
537.88;	0.1599
538.31;	0.1571
538.75;	0.1544
539.19;	0.1518
539.63;	0.1492
540.07;	0.1468
540.50;	0.1444
540.94;	0.1421
541.38;	0.1399
541.82;	0.1378
542.25;	0.1357
542.69;	0.1338
543.13;	0.1319
543.57;	0.1300
544.01;	0.1283
544.44;	0.1266
544.88;	0.1250
545.32;	0.1234
545.76;	0.1219
546.20;	0.1205
546.63;	0.1192
547.07;	0.1179
547.51;	0.1167
547.95;	0.1155
548.38;	0.1144
548.82;	0.1134
549.26;	0.1124
549.70;	0.1114
550.14;	0.1106
550.57;	0.1097
551.01;	0.1090
551.45;	0.1082
551.89;	0.1076
552.33;	0.1070
552.76;	0.1064
553.20;	0.1059
553.64;	0.1054
554.08;	0.1050
554.51;	0.1046
554.95;	0.1043
555.39;	0.1040
555.83;	0.1037
556.27;	0.1035
556.70;	0.1033
557.14;	0.1032
557.58;	0.1031
558.02;	0.1031
558.46;	0.1030
558.89;	0.1031
559.33;	0.1031
559.77;	0.1032
560.21;	0.1033
560.64;	0.1035
561.08;	0.1037
561.52;	0.1039
561.96;	0.1042
562.40;	0.1045
562.83;	0.1048
563.27;	0.1051
563.71;	0.1055
564.15;	0.1059
564.59;	0.1064
565.02;	0.1068
565.46;	0.1073
565.90;	0.1078
566.34;	0.1084
566.78;	0.1089
567.21;	0.1095
567.65;	0.1101
568.09;	0.1108
568.53;	0.1114
568.96;	0.1121
569.40;	0.1128
569.84;	0.1136
570.28;	0.1143
570.72;	0.1151
571.15;	0.1159
571.59;	0.1167
572.03;	0.1175
572.47;	0.1184
572.91;	0.1192
573.34;	0.1201
573.78;	0.1210
574.22;	0.1219
574.66;	0.1229
575.09;	0.1238
575.53;	0.1248
575.97;	0.1258
576.41;	0.1268
576.85;	0.1278
577.28;	0.1289
577.72;	0.1299
578.16;	0.1310
578.60;	0.1321
579.04;	0.1332
579.47;	0.1343
579.91;	0.1354
580.35;	0.1366
580.79;	0.1377
581.22;	0.1389
581.66;	0.1401
582.10;	0.1412
582.54;	0.1424
582.98;	0.1437
583.41;	0.1449
583.85;	0.1461
584.29;	0.1474
584.73;	0.1486
585.17;	0.1499
585.60;	0.1512
