wavelength, nm;	absorption
357.00;	0.2889
357.26;	0.2934
357.53;	0.2980
357.79;	0.3026
358.05;	0.3073
358.32;	0.3120
358.58;	0.3168
358.84;	0.3217
359.11;	0.3266
359.37;	0.3315
359.63;	0.3366
359.90;	0.3417
360.16;	0.3468
360.42;	0.3520
360.69;	0.3573
360.95;	0.3626
361.21;	0.3680
361.48;	0.3735
361.74;	0.3790
362.00;	0.3846
362.27;	0.3902
362.53;	0.3959
362.79;	0.4017
363.06;	0.4075
363.32;	0.4134
363.58;	0.4194
363.85;	0.4254
364.11;	0.4315
364.38;	0.4377
364.64;	0.4439
364.90;	0.4502
365.17;	0.4566
365.43;	0.4630
365.69;	0.4695
365.96;	0.4761
366.22;	0.4827
366.48;	0.4894
366.75;	0.4962
367.01;	0.5030
367.27;	0.5099
367.54;	0.5169
367.80;	0.5240
368.06;	0.5311
368.33;	0.5383
368.59;	0.5456
368.85;	0.5529
369.12;	0.5603
369.38;	0.5678
369.64;	0.5754
369.91;	0.5830
370.17;	0.5907
370.43;	0.5985
370.70;	0.6063
370.96;	0.6143
371.22;	0.6223
371.49;	0.6303
371.75;	0.6385
372.01;	0.6467
372.28;	0.6550
372.54;	0.6634
372.80;	0.6718
373.07;	0.6803
373.33;	0.6889
373.59;	0.6976
373.86;	0.7063
374.12;	0.7151
374.38;	0.7240
374.65;	0.7330
374.91;	0.7420
375.17;	0.7512
375.44;	0.7603
375.70;	0.7696
375.96;	0.7790
376.23;	0.7884
376.49;	0.7979
376.75;	0.8075
377.02;	0.8171
377.28;	0.8268
377.54;	0.8366
377.81;	0.8465
378.07;	0.8564
378.34;	0.8665
378.60;	0.8766
378.86;	0.8867
379.13;	0.8970
379.39;	0.9073
379.65;	0.9177
379.92;	0.9282
380.18;	0.9387
380.44;	0.9494
380.71;	0.9601
380.97;	0.9708
381.23;	0.9817
381.50;	0.9926
381.76;	1.0036
382.02;	1.0146
382.29;	1.0258
382.55;	1.0370
382.81;	1.0483
383.08;	1.0596
383.34;	1.0711
383.60;	1.0826
383.87;	1.0941
384.13;	1.1058
