wavelength, nm;	absorption
380.00;	0.7943
380.38;	0.8075
380.77;	0.8208
381.15;	0.8342
381.54;	0.8478
381.92;	0.8616
382.31;	0.8754
382.69;	0.8894
383.08;	0.9035
383.46;	0.9177
383.85;	0.9321
384.23;	0.9466
384.61;	0.9612
385.00;	0.9760
385.38;	0.9909
385.77;	1.0059
386.15;	1.0210
386.54;	1.0362
386.92;	1.0516
387.31;	1.0671
387.69;	1.0827
388.08;	1.0984
388.46;	1.1142
388.84;	1.1302
389.23;	1.1462
389.61;	1.1624
390.00;	1.1787
390.38;	1.1950
390.77;	1.2115
391.15;	1.2281
391.54;	1.2448
391.92;	1.2616
392.31;	1.2784
392.69;	1.2954
393.07;	1.3124
393.46;	1.3296
393.84;	1.3468
394.23;	1.3641
394.61;	1.3815
395.00;	1.3990
395.38;	1.4166
395.77;	1.4342
396.15;	1.4519
396.54;	1.4696
396.92;	1.4875
397.30;	1.5053
397.69;	1.5233
398.07;	1.5413
398.46;	1.5594
398.84;	1.5775
399.23;	1.5956
399.61;	1.6138
400.00;	1.6320
400.38;	1.6503
400.77;	1.6686
401.15;	1.6870
401.53;	1.7053
401.92;	1.7237
402.30;	1.7421
402.69;	1.7606
403.07;	1.7790
403.46;	1.7974
403.84;	1.8159
404.23;	1.8344
404.61;	1.8528
405.00;	1.8712
405.38;	1.8897
405.76;	1.9081
406.15;	1.9265
406.53;	1.9449
406.92;	1.9632
407.30;	1.9816
407.69;	1.9999
408.07;	2.0181
408.46;	2.0363
408.84;	2.0545
409.23;	2.0726
409.61;	2.0907
409.99;	2.1087
410.38;	2.1266
410.76;	2.1445
411.15;	2.1623
411.53;	2.1800
411.92;	2.1977
412.30;	2.2153
412.69;	2.2327
413.07;	2.2501
413.46;	2.2674
413.84;	2.2846
414.22;	2.3017
414.61;	2.3186
414.99;	2.3355
415.38;	2.3522
415.76;	2.3689
416.15;	2.3853
416.53;	2.4017
416.92;	2.4179
417.30;	2.4340
417.69;	2.4499
418.07;	2.4657
418.45;	2.4814
418.84;	2.4969
419.22;	2.5122
419.61;	2.5273
419.99;	2.5423
420.38;	2.5571
420.76;	2.5718
421.15;	2.5862
421.53;	2.6005
421.92;	2.6146
422.30;	2.6285
422.68;	2.6422
423.07;	2.6557
423.45;	2.6690
423.84;	2.6820
424.22;	2.6949
424.61;	2.7076
424.99;	2.7200
425.38;	2.7322
425.76;	2.7442
426.15;	2.7559
426.53;	2.7675
426.91;	2.7788
427.30;	2.7898
427.68;	2.8006
428.07;	2.8112
428.45;	2.8215
428.84;	2.8315
429.22;	2.8413
429.61;	2.8509
429.99;	2.8602
430.38;	2.8692
430.76;	2.8779
431.14;	2.8864
431.53;	2.8946
431.91;	2.9026
432.30;	2.9102
432.68;	2.9176
433.07;	2.9247
433.45;	2.9315
433.84;	2.9381
434.22;	2.9443
434.61;	2.9503
434.99;	2.9560
435.38;	2.9613
435.76;	2.9664
436.14;	2.9712
436.53;	2.9757
436.91;	2.9799
437.30;	2.9838
437.68;	2.9874
438.07;	2.9907
438.45;	2.9937
438.84;	2.9964
439.22;	2.9987
439.61;	3.0008
439.99;	3.0026
440.37;	3.0041
440.76;	3.0052
441.14;	3.0061
441.53;	3.0066
441.91;	3.0068
442.30;	3.0068
442.68;	3.0064
443.07;	3.0057
443.45;	3.0047
443.84;	3.0034
444.22;	3.0018
444.60;	2.9999
444.99;	2.9977
445.37;	2.9951
445.76;	2.9923
446.14;	2.9892
446.53;	2.9857
446.91;	2.9820
447.30;	2.9780
447.68;	2.9736
448.07;	2.9690
448.45;	2.9641
448.83;	2.9589
449.22;	2.9534
