wavelength, nm;	absorption
374.00;	0.6433
374.27;	0.6516
374.55;	0.6601
374.82;	0.6686
375.10;	0.6771
375.37;	0.6858
375.65;	0.6945
375.92;	0.7033
376.20;	0.7122
376.47;	0.7212
376.75;	0.7302
377.02;	0.7393
377.30;	0.7485
377.57;	0.7577
377.85;	0.7671
378.12;	0.7765
378.40;	0.7859
378.67;	0.7955
378.95;	0.8051
379.22;	0.8148
379.49;	0.8246
379.77;	0.8344
380.04;	0.8443
380.32;	0.8543
380.59;	0.8644
380.87;	0.8745
381.14;	0.8847
381.42;	0.8950
381.69;	0.9053
381.97;	0.9158
382.24;	0.9263
382.52;	0.9368
382.79;	0.9475
383.07;	0.9582
383.34;	0.9690
383.62;	0.9798
383.89;	0.9907
384.16;	1.0017
384.44;	1.0128
384.71;	1.0239
384.99;	1.0351
385.26;	1.0463
385.54;	1.0577
385.81;	1.0691
386.09;	1.0805
386.36;	1.0921
386.64;	1.1036
386.91;	1.1153
387.19;	1.1270
387.46;	1.1388
387.74;	1.1507
388.01;	1.1626
388.29;	1.1745
388.56;	1.1866
388.84;	1.1987
389.11;	1.2108
389.38;	1.2230
389.66;	1.2353
389.93;	1.2476
390.21;	1.2600
390.48;	1.2725
390.76;	1.2850
391.03;	1.2975
391.31;	1.3101
391.58;	1.3228
391.86;	1.3355
392.13;	1.3483
392.41;	1.3611
392.68;	1.3740
392.96;	1.3869
393.23;	1.3998
393.51;	1.4129
393.78;	1.4259
394.05;	1.4390
394.33;	1.4522
394.60;	1.4654
394.88;	1.4786
395.15;	1.4919
395.43;	1.5052
395.70;	1.5185
395.98;	1.5319
396.25;	1.5454
396.53;	1.5588
396.80;	1.5723
397.08;	1.5859
397.35;	1.5994
397.63;	1.6130
397.90;	1.6267
398.18;	1.6403
398.45;	1.6540
398.73;	1.6678
399.00;	1.6815
399.27;	1.6953
399.55;	1.7091
399.82;	1.7229
400.10;	1.7367
400.37;	1.7506
400.65;	1.7644
400.92;	1.7783
401.20;	1.7922
401.47;	1.8061
401.75;	1.8201
402.02;	1.8340
402.30;	1.8480
402.57;	1.8619
402.85;	1.8759
403.12;	1.8899
403.40;	1.9039
403.67;	1.9179
403.95;	1.9318
404.22;	1.9458
404.49;	1.9598
404.77;	1.9738
405.04;	1.9878
405.32;	2.0018
405.59;	2.0157
405.87;	2.0297
406.14;	2.0436
406.42;	2.0576
406.69;	2.0715
406.97;	2.0854
407.24;	2.0993
407.52;	2.1132
407.79;	2.1270
408.07;	2.1408
408.34;	2.1547
408.62;	2.1684
408.89;	2.1822
409.16;	2.1959
409.44;	2.2096
409.71;	2.2233
409.99;	2.2370
410.26;	2.2506
410.54;	2.2641
410.81;	2.2777
411.09;	2.2912
