wavelength, nm;	absorption
373.00;	0.6373
373.39;	0.6492
373.77;	0.6612
374.16;	0.6733
374.55;	0.6856
374.93;	0.6981
375.32;	0.7107
375.70;	0.7234
376.09;	0.7363
376.48;	0.7494
376.86;	0.7626
377.25;	0.7760
377.64;	0.7895
378.02;	0.8032
378.41;	0.8170
378.80;	0.8310
379.18;	0.8451
379.57;	0.8594
379.95;	0.8738
380.34;	0.8884
380.73;	0.9031
381.11;	0.9180
381.50;	0.9330
381.89;	0.9482
382.27;	0.9635
382.66;	0.9790
383.05;	0.9946
383.43;	1.0104
383.82;	1.0263
384.21;	1.0424
384.59;	1.0585
384.98;	1.0749
385.36;	1.0913
385.75;	1.1080
386.14;	1.1247
386.52;	1.1416
386.91;	1.1586
387.30;	1.1757
387.68;	1.1930
388.07;	1.2104
388.46;	1.2279
388.84;	1.2456
389.23;	1.2634
389.61;	1.2813
390.00;	1.2993
390.39;	1.3174
390.77;	1.3357
391.16;	1.3541
391.55;	1.3725
391.93;	1.3911
392.32;	1.4098
392.71;	1.4286
393.09;	1.4475
393.48;	1.4665
393.86;	1.4856
394.25;	1.5047
394.64;	1.5240
395.02;	1.5434
395.41;	1.5628
395.80;	1.5823
396.18;	1.6019
396.57;	1.6216
396.96;	1.6414
397.34;	1.6612
397.73;	1.6811
398.11;	1.7010
398.50;	1.7210
398.89;	1.7411
399.27;	1.7612
399.66;	1.7813
400.05;	1.8015
400.43;	1.8218
400.82;	1.8421
401.21;	1.8624
401.59;	1.8827
401.98;	1.9031
402.37;	1.9235
402.75;	1.9439
403.14;	1.9643
403.52;	1.9847
403.91;	2.0052
404.30;	2.0256
404.68;	2.0460
405.07;	2.0665
405.46;	2.0869
405.84;	2.1073
406.23;	2.1277
406.62;	2.1480
407.00;	2.1683
407.39;	2.1886
407.77;	2.2089
408.16;	2.2291
408.55;	2.2492
408.93;	2.2694
409.32;	2.2894
409.71;	2.3094
410.09;	2.3293
410.48;	2.3492
410.87;	2.3689
411.25;	2.3886
411.64;	2.4082
412.02;	2.4278
412.41;	2.4472
412.80;	2.4665
413.18;	2.4857
413.57;	2.5048
413.96;	2.5238
414.34;	2.5427
414.73;	2.5615
415.12;	2.5801
415.50;	2.5986
415.89;	2.6170
416.27;	2.6352
416.66;	2.6532
417.05;	2.6711
417.43;	2.6889
417.82;	2.7065
418.21;	2.7239
418.59;	2.7412
418.98;	2.7583
419.37;	2.7752
419.75;	2.7919
420.14;	2.8084
420.53;	2.8247
420.91;	2.8409
421.30;	2.8568
421.68;	2.8725
422.07;	2.8880
422.46;	2.9033
422.84;	2.9184
423.23;	2.9332
423.62;	2.9479
424.00;	2.9622
424.39;	2.9764
424.78;	2.9903
425.16;	3.0040
425.55;	3.0174
425.93;	3.0305
426.32;	3.0434
426.71;	3.0561
427.09;	3.0684
427.48;	3.0805
427.87;	3.0924
428.25;	3.1039
428.64;	3.1152
429.03;	3.1262
429.41;	3.1369
429.80;	3.1474
430.18;	3.1575
430.57;	3.1673
430.96;	3.1769
431.34;	3.1861
431.73;	3.1950
432.12;	3.2037
432.50;	3.2120
432.89;	3.2200
433.28;	3.2277
433.66;	3.2351
434.05;	3.2421
434.44;	3.2489
434.82;	3.2553
435.21;	3.2614
435.59;	3.2671
435.98;	3.2726
436.37;	3.2777
436.75;	3.2825
437.14;	3.2869
437.53;	3.2910
437.91;	3.2948
438.30;	3.2982
438.69;	3.3013
439.07;	3.3041
439.46;	3.3065
439.84;	3.3086
440.23;	3.3104
440.62;	3.3118
441.00;	3.3128
441.39;	3.3135
441.78;	3.3139
442.16;	3.3139
442.55;	3.3136
442.94;	3.3130
443.32;	3.3120
443.71;	3.3106
444.09;	3.3090
444.48;	3.3070
444.87;	3.3046
445.25;	3.3019
445.64;	3.2989
446.03;	3.2955
446.41;	3.2918
446.80;	3.2877
447.19;	3.2833
447.57;	3.2786
447.96;	3.2736
448.34;	3.2682
448.73;	3.2625
449.12;	3.2565
449.50;	3.2501
449.89;	3.2434
450.28;	3.2364
450.66;	3.2291
451.05;	3.2215
451.44;	3.2135
451.82;	3.2053
452.21;	3.1967
452.60;	3.1878
452.98;	3.1786
453.37;	3.1692
453.75;	3.1594
454.14;	3.1493
454.53;	3.1389
454.91;	3.1283
455.30;	3.1174
455.69;	3.1061
456.07;	3.0946
456.46;	3.0828
456.85;	3.0708
457.23;	3.0585
457.62;	3.0459
458.00;	3.0330
458.39;	3.0199
458.78;	3.0066
459.16;	2.9930
459.55;	2.9791
459.94;	2.9650
460.32;	2.9507
460.71;	2.9361
461.10;	2.9213
461.48;	2.9063
461.87;	2.8911
462.25;	2.8756
462.64;	2.8599
463.03;	2.8440
463.41;	2.8280
463.80;	2.8117
464.19;	2.7952
464.57;	2.7785
464.96;	2.7617
465.35;	2.7446
465.73;	2.7274
466.12;	2.7100
466.50;	2.6925
466.89;	2.6748
467.28;	2.6569
467.66;	2.6389
468.05;	2.6207
468.44;	2.6024
468.82;	2.5839
469.21;	2.5654
469.60;	2.5466
469.98;	2.5278
470.37;	2.5088
470.76;	2.4898
471.14;	2.4706
471.53;	2.4513
471.91;	2.4319
472.30;	2.4124
472.69;	2.3928
473.07;	2.3732
473.46;	2.3534
473.85;	2.3336
474.23;	2.3137
474.62;	2.2938
475.01;	2.2738
475.39;	2.2537
475.78;	2.2336
476.16;	2.2134
