wavelength, nm;	absorption
383.00;	1.0499
383.39;	1.0667
383.78;	1.0837
384.17;	1.1008
384.56;	1.1180
384.95;	1.1354
385.34;	1.1530
385.73;	1.1706
386.12;	1.1885
386.51;	1.2065
386.89;	1.2246
387.28;	1.2429
387.67;	1.2613
388.06;	1.2798
388.45;	1.2985
388.84;	1.3173
389.23;	1.3363
389.62;	1.3554
390.01;	1.3746
390.40;	1.3939
390.79;	1.4134
391.18;	1.4330
391.57;	1.4527
391.96;	1.4725
392.35;	1.4924
392.74;	1.5125
393.13;	1.5326
393.52;	1.5529
393.91;	1.5732
394.29;	1.5937
394.68;	1.6142
395.07;	1.6349
395.46;	1.6556
395.85;	1.6765
396.24;	1.6974
396.63;	1.7183
397.02;	1.7394
397.41;	1.7605
397.80;	1.7818
398.19;	1.8030
398.58;	1.8244
398.97;	1.8458
399.36;	1.8672
399.75;	1.8887
400.14;	1.9103
400.53;	1.9318
400.92;	1.9535
401.31;	1.9751
401.69;	1.9968
402.08;	2.0186
402.47;	2.0403
402.86;	2.0621
403.25;	2.0838
403.64;	2.1056
404.03;	2.1274
404.42;	2.1492
404.81;	2.1710
405.20;	2.1927
405.59;	2.2145
405.98;	2.2362
406.37;	2.2579
406.76;	2.2796
407.15;	2.3013
407.54;	2.3229
407.93;	2.3445
408.32;	2.3660
408.71;	2.3875
409.09;	2.4089
409.48;	2.4302
409.87;	2.4515
410.26;	2.4727
410.65;	2.4938
411.04;	2.5149
411.43;	2.5358
411.82;	2.5567
412.21;	2.5774
412.60;	2.5981
412.99;	2.6186
413.38;	2.6391
413.77;	2.6594
414.16;	2.6796
414.55;	2.6996
414.94;	2.7195
415.33;	2.7393
415.72;	2.7590
416.11;	2.7784
416.49;	2.7978
416.88;	2.8169
417.27;	2.8359
417.66;	2.8548
418.05;	2.8734
418.44;	2.8919
418.83;	2.9102
419.22;	2.9282
419.61;	2.9461
420.00;	2.9638
420.39;	2.9813
420.78;	2.9986
421.17;	3.0156
421.56;	3.0325
421.95;	3.0491
422.34;	3.0655
422.73;	3.0816
423.12;	3.0975
423.51;	3.1131
423.89;	3.1285
424.28;	3.1437
424.67;	3.1586
425.06;	3.1732
425.45;	3.1876
425.84;	3.2017
426.23;	3.2155
426.62;	3.2290
427.01;	3.2423
427.40;	3.2552
427.79;	3.2679
428.18;	3.2803
428.57;	3.2924
428.96;	3.3041
429.35;	3.3156
429.74;	3.3268
430.13;	3.3376
430.52;	3.3482
430.91;	3.3584
431.29;	3.3683
431.68;	3.3778
432.07;	3.3870
432.46;	3.3960
432.85;	3.4045
433.24;	3.4128
433.63;	3.4206
434.02;	3.4282
434.41;	3.4354
434.80;	3.4423
435.19;	3.4488
435.58;	3.4549
435.97;	3.4607
436.36;	3.4662
436.75;	3.4713
437.14;	3.4760
437.53;	3.4804
437.92;	3.4844
438.31;	3.4881
438.69;	3.4914
439.08;	3.4943
439.47;	3.4969
439.86;	3.4991
440.25;	3.5009
440.64;	3.5024
441.03;	3.5035
441.42;	3.5042
441.81;	3.5046
442.20;	3.5046
442.59;	3.5042
442.98;	3.5035
443.37;	3.5024
443.76;	3.5009
444.15;	3.4990
444.54;	3.4968
444.93;	3.4943
445.32;	3.4913
445.71;	3.4880
446.09;	3.4844
446.48;	3.4803
446.87;	3.4759
447.26;	3.4712
447.65;	3.4661
448.04;	3.4606
448.43;	3.4548
448.82;	3.4486
449.21;	3.4421
449.60;	3.4353
449.99;	3.4280
450.38;	3.4205
450.77;	3.4126
451.16;	3.4044
451.55;	3.3958
451.94;	3.3869
452.33;	3.3776
452.72;	3.3681
453.11;	3.3582
453.49;	3.3480
453.88;	3.3374
454.27;	3.3266
454.66;	3.3154
455.05;	3.3039
455.44;	3.2921
455.83;	3.2801
456.22;	3.2677
456.61;	3.2550
457.00;	3.2420
457.39;	3.2288
457.78;	3.2152
458.17;	3.2014
458.56;	3.1873
458.95;	3.1730
459.34;	3.1583
459.73;	3.1434
460.12;	3.1283
460.51;	3.1129
460.89;	3.0972
461.28;	3.0813
461.67;	3.0652
462.06;	3.0488
462.45;	3.0322
462.84;	3.0153
463.23;	2.9983
463.62;	2.9810
464.01;	2.9635
464.40;	2.9458
464.79;	2.9279
465.18;	2.9099
465.57;	2.8916
465.96;	2.8731
466.35;	2.8545
466.74;	2.8356
467.13;	2.8166
467.52;	2.7975
467.91;	2.7781
468.29;	2.7587
468.68;	2.7390
469.07;	2.7192
469.46;	2.6993
469.85;	2.6793
470.24;	2.6591
470.63;	2.6388
471.02;	2.6183
471.41;	2.5978
471.80;	2.5771
472.19;	2.5564
472.58;	2.5355
472.97;	2.5146
473.36;	2.4935
473.75;	2.4724
474.14;	2.4512
474.53;	2.4299
474.92;	2.4086
475.31;	2.3872
475.69;	2.3657
476.08;	2.3442
476.47;	2.3226
476.86;	2.3010
477.25;	2.2794
477.64;	2.2577
478.03;	2.2360
478.42;	2.2143
478.81;	2.1925
479.20;	2.1708
479.59;	2.1490
479.98;	2.1272
480.37;	2.1054
480.76;	2.0837
481.15;	2.0619
481.54;	2.0401
481.93;	2.0184
482.32;	1.9967
482.71;	1.9750
483.09;	1.9534
483.48;	1.9317
483.87;	1.9102
484.26;	1.8886
484.65;	1.8671
485.04;	1.8457
485.43;	1.8243
485.82;	1.8030
486.21;	1.7817
486.60;	1.7605
486.99;	1.7394
487.38;	1.7183
487.77;	1.6974
488.16;	1.6765
488.55;	1.6557
488.94;	1.6349
489.33;	1.6143
489.72;	1.5938
490.11;	1.5733
490.49;	1.5530
490.88;	1.5327
491.27;	1.5126
491.66;	1.4926
492.05;	1.4726
492.44;	1.4528
492.83;	1.4332
493.22;	1.4136
493.61;	1.3941
494.00;	1.3748
494.39;	1.3556
494.78;	1.3366
495.17;	1.3176
