wavelength, nm;	absorption
wavelength, nm;	absorption
358.00;	0.3027
358.37;	0.3093
358.74;	0.3160
359.11;	0.3227
359.48;	0.3296
359.85;	0.3366
360.21;	0.3438
360.58;	0.3510
360.95;	0.3584
361.32;	0.3659
361.69;	0.3735
362.06;	0.3812
362.43;	0.3890
362.80;	0.3970
363.17;	0.4051
363.54;	0.4133
363.91;	0.4217
364.27;	0.4302
364.64;	0.4388
365.01;	0.4475
365.38;	0.4564
365.75;	0.4654
366.12;	0.4746
366.49;	0.4838
366.86;	0.4932
367.23;	0.5028
367.60;	0.5124
367.97;	0.5223
368.33;	0.5322
368.70;	0.5423
369.07;	0.5525
369.44;	0.5629
369.81;	0.5734
370.18;	0.5841
370.55;	0.5949
370.92;	0.6058
371.29;	0.6169
371.66;	0.6281
372.03;	0.6395
372.39;	0.6510
372.76;	0.6626
373.13;	0.6744
373.50;	0.6864
373.87;	0.6985
374.24;	0.7107
374.61;	0.7231
374.98;	0.7356
375.35;	0.7483
375.72;	0.7611
376.09;	0.7741
376.45;	0.7872
376.82;	0.8004
377.19;	0.8139
377.56;	0.8274
377.93;	0.8411
378.30;	0.8550
378.67;	0.8690
379.04;	0.8831
379.41;	0.8974
379.78;	0.9118
380.15;	0.9264
380.52;	0.9411
380.88;	0.9560
381.25;	0.9710
381.62;	0.9861
381.99;	1.0014
382.36;	1.0168
382.73;	1.0324
383.10;	1.0481
383.47;	1.0640
383.84;	1.0800
384.21;	1.0961
384.58;	1.1123
384.94;	1.1287
385.31;	1.1453
385.68;	1.1619
386.05;	1.1787
386.42;	1.1956
386.79;	1.2127
387.16;	1.2299
387.53;	1.2472
387.90;	1.2646
388.27;	1.2821
388.64;	1.2998
389.00;	1.3176
389.37;	1.3355
389.74;	1.3535
390.11;	1.3717
390.48;	1.3899
390.85;	1.4083
391.22;	1.4267
391.59;	1.4453
391.96;	1.4640
392.33;	1.4828
392.70;	1.5016
393.06;	1.5206
393.43;	1.5397
393.80;	1.5588
394.17;	1.5781
394.54;	1.5974
394.91;	1.6168
395.28;	1.6363
395.65;	1.6559
396.02;	1.6756
396.39;	1.6953
396.76;	1.7151
397.12;	1.7350
397.49;	1.7549
397.86;	1.7749
398.23;	1.7950
398.60;	1.8151
398.97;	1.8352
399.34;	1.8554
399.71;	1.8757
400.08;	1.8960
400.45;	1.9163
400.82;	1.9367
401.18;	1.9571
401.55;	1.9775
401.92;	1.9980
402.29;	2.0185
402.66;	2.0390
403.03;	2.0595
403.40;	2.0800
403.77;	2.1005
404.14;	2.1210
404.51;	2.1416
404.88;	2.1621
405.24;	2.1826
405.61;	2.2031
405.98;	2.2236
406.35;	2.2440
406.72;	2.2645
407.09;	2.2849
407.46;	2.3052
407.83;	2.3256
408.20;	2.3459
408.57;	2.3661
408.94;	2.3863
409.30;	2.4065
409.67;	2.4265
410.04;	2.4466
410.41;	2.4665
410.78;	2.4864
411.15;	2.5062
411.52;	2.5259
411.89;	2.5455
412.26;	2.5651
412.63;	2.5845
413.00;	2.6039
413.36;	2.6232
413.73;	2.6423
414.10;	2.6613
414.47;	2.6803
414.84;	2.6991
415.21;	2.7177
415.58;	2.7363
415.95;	2.7547
416.32;	2.7730
416.69;	2.7911
417.06;	2.8091
417.42;	2.8269
417.79;	2.8446
418.16;	2.8621
418.53;	2.8795
418.90;	2.8967
419.27;	2.9137
419.64;	2.9305
420.01;	2.9472
420.38;	2.9636
420.75;	2.9799
421.12;	2.9960
421.48;	3.0119
