wavelength, nm;	absorption
408.00;	2.0280
408.26;	2.0403
408.51;	2.0525
408.77;	2.0647
409.03;	2.0769
409.28;	2.0891
409.54;	2.1012
409.80;	2.1133
410.05;	2.1254
410.31;	2.1375
410.57;	2.1495
410.82;	2.1615
411.08;	2.1735
411.34;	2.1854
411.59;	2.1973
411.85;	2.2092
412.11;	2.2210
412.37;	2.2328
412.62;	2.2445
412.88;	2.2562
413.14;	2.2679
413.39;	2.2795
413.65;	2.2911
413.91;	2.3026
414.16;	2.3141
414.42;	2.3255
414.68;	2.3369
414.93;	2.3482
415.19;	2.3595
415.45;	2.3707
415.70;	2.3819
415.96;	2.3930
416.22;	2.4041
416.47;	2.4151
416.73;	2.4260
416.99;	2.4369
417.24;	2.4477
417.50;	2.4584
417.76;	2.4691
418.01;	2.4797
418.27;	2.4903
418.53;	2.5007
418.78;	2.5111
419.04;	2.5215
419.30;	2.5317
419.55;	2.5419
419.81;	2.5520
420.07;	2.5620
420.32;	2.5720
420.58;	2.5819
420.84;	2.5917
421.10;	2.6014
421.35;	2.6110
421.61;	2.6206
421.87;	2.6300
422.12;	2.6394
422.38;	2.6487
422.64;	2.6579
422.89;	2.6670
423.15;	2.6760
423.41;	2.6849
423.66;	2.6938
423.92;	2.7025
424.18;	2.7111
424.43;	2.7197
424.69;	2.7281
424.95;	2.7365
425.20;	2.7447
425.46;	2.7529
425.72;	2.7609
425.97;	2.7689
426.23;	2.7767
426.49;	2.7845
426.74;	2.7921
427.00;	2.7996
427.26;	2.8070
427.51;	2.8143
427.77;	2.8215
428.03;	2.8286
428.28;	2.8356
428.54;	2.8425
428.80;	2.8492
429.05;	2.8558
429.31;	2.8624
429.57;	2.8688
429.83;	2.8751
430.08;	2.8812
430.34;	2.8873
430.60;	2.8932
430.85;	2.8990
431.11;	2.9047
431.37;	2.9103
431.62;	2.9157
431.88;	2.9210
432.14;	2.9262
432.39;	2.9313
432.65;	2.9363
432.91;	2.9411
433.16;	2.9458
433.42;	2.9503
433.68;	2.9548
433.93;	2.9591
434.19;	2.9633
434.45;	2.9673
434.70;	2.9713
434.96;	2.9751
435.22;	2.9787
435.47;	2.9823
435.73;	2.9857
435.99;	2.9889
436.24;	2.9921
436.50;	2.9951
436.76;	2.9979
437.01;	3.0007
437.27;	3.0033
437.53;	3.0057
437.78;	3.0080
438.04;	3.0102
438.30;	3.0123
438.56;	3.0142
438.81;	3.0160
439.07;	3.0176
439.33;	3.0192
439.58;	3.0205
439.84;	3.0218
440.10;	3.0229
440.35;	3.0238
440.61;	3.0246
440.87;	3.0253
441.12;	3.0259
441.38;	3.0263
441.64;	3.0266
441.89;	3.0267
442.15;	3.0267
442.41;	3.0266
442.66;	3.0263
442.92;	3.0259
443.18;	3.0253
443.43;	3.0246
443.69;	3.0238
443.95;	3.0228
444.20;	3.0217
444.46;	3.0204
444.72;	3.0191
444.97;	3.0175
445.23;	3.0159
445.49;	3.0141
445.74;	3.0122
446.00;	3.0101
446.26;	3.0079
446.51;	3.0056
446.77;	3.0031
447.03;	3.0005
447.29;	2.9978
447.54;	2.9949
447.80;	2.9919
448.06;	2.9887
448.31;	2.9855
448.57;	2.9821
448.83;	2.9785
449.08;	2.9748
449.34;	2.9710
449.60;	2.9671
449.85;	2.9631
450.11;	2.9589
450.37;	2.9545
450.62;	2.9501
450.88;	2.9455
451.14;	2.9408
451.39;	2.9360
451.65;	2.9310
451.91;	2.9260
452.16;	2.9208
452.42;	2.9154
452.68;	2.9100
452.93;	2.9044
453.19;	2.8987
453.45;	2.8929
453.70;	2.8870
453.96;	2.8809
454.22;	2.8747
454.47;	2.8685
454.73;	2.8620
454.99;	2.8555
455.24;	2.8489
455.50;	2.8421
455.76;	2.8353
456.02;	2.8283
456.27;	2.8212
456.53;	2.8140
456.79;	2.8067
457.04;	2.7993
457.30;	2.7918
457.56;	2.7841
457.81;	2.7764
458.07;	2.7686
458.33;	2.7606
458.58;	2.7526
458.84;	2.7444
459.10;	2.7362
459.35;	2.7278
459.61;	2.7194
459.87;	2.7108
460.12;	2.7022
460.38;	2.6935
460.64;	2.6846
460.89;	2.6757
461.15;	2.6667
461.41;	2.6576
461.66;	2.6484
461.92;	2.6391
462.18;	2.6298
462.43;	2.6203
462.69;	2.6108
462.95;	2.6011
463.20;	2.5914
463.46;	2.5817
463.72;	2.5718
463.97;	2.5618
464.23;	2.5518
464.49;	2.5417
464.75;	2.5316
465.00;	2.5213
465.26;	2.5110
465.52;	2.5006
465.77;	2.4901
466.03;	2.4796
466.29;	2.4690
466.54;	2.4583
466.80;	2.4476
467.06;	2.4368
467.31;	2.4260
467.57;	2.4150
467.83;	2.4041
468.08;	2.3930
468.34;	2.3819
468.60;	2.3708
468.85;	2.3596
469.11;	2.3483
469.37;	2.3370
469.62;	2.3256
469.88;	2.3142
470.14;	2.3028
470.39;	2.2913
470.65;	2.2797
470.91;	2.2681
471.16;	2.2565
471.42;	2.2448
471.68;	2.2331
471.93;	2.2213
472.19;	2.2095
472.45;	2.1977
472.70;	2.1858
472.96;	2.1739
473.22;	2.1619
473.48;	2.1500
473.73;	2.1380
473.99;	2.1259
474.25;	2.1139
474.50;	2.1018
474.76;	2.0897
475.02;	2.0775
475.27;	2.0654
475.53;	2.0532
475.79;	2.0410
476.04;	2.0288
476.30;	2.0165
476.56;	2.0043
476.81;	1.9920
477.07;	1.9797
477.33;	1.9674
477.58;	1.9551
477.84;	1.9428
478.10;	1.9305
478.35;	1.9181
478.61;	1.9058
478.87;	1.8934
479.12;	1.8811
479.38;	1.8687
479.64;	1.8563
479.89;	1.8440
480.15;	1.8316
480.41;	1.8193
480.66;	1.8069
480.92;	1.7945
481.18;	1.7822
481.43;	1.7698
481.69;	1.7575
481.95;	1.7452
482.21;	1.7329
482.46;	1.7205
482.72;	1.7082
482.98;	1.6959
483.23;	1.6837
483.49;	1.6714
483.75;	1.6592
484.00;	1.6469
484.26;	1.6347
484.52;	1.6225
484.77;	1.6103
485.03;	1.5982
485.29;	1.5860
485.54;	1.5739
485.80;	1.5618
486.06;	1.5498
486.31;	1.5377
486.57;	1.5257
486.83;	1.5137
487.08;	1.5017
487.34;	1.4898
487.60;	1.4779
487.85;	1.4660
488.11;	1.4542
488.37;	1.4424
488.62;	1.4306
488.88;	1.4188
489.14;	1.4071
489.39;	1.3955
489.65;	1.3838
489.91;	1.3722
490.16;	1.3606
490.42;	1.3491
490.68;	1.3376
490.94;	1.3262
491.19;	1.3148
491.45;	1.3034
491.71;	1.2921
491.96;	1.2808
492.22;	1.2695
492.48;	1.2583
492.73;	1.2472
492.99;	1.2361
493.25;	1.2250
493.50;	1.2140
493.76;	1.2030
494.02;	1.1921
494.27;	1.1812
494.53;	1.1704
494.79;	1.1596
495.04;	1.1489
495.30;	1.1382
495.56;	1.1276
495.81;	1.1170
496.07;	1.1065
496.33;	1.0960
496.58;	1.0856
496.84;	1.0752
497.10;	1.0649
497.35;	1.0546
497.61;	1.0444
497.87;	1.0343
498.12;	1.0242
498.38;	1.0141
498.64;	1.0041
498.89;	0.9942
499.15;	0.9843
499.41;	0.9745
499.67;	0.9648
499.92;	0.9551
500.18;	0.9454
500.44;	0.9358
500.69;	0.9263
500.95;	0.9168
501.21;	0.9074
501.46;	0.8981
501.72;	0.8888
501.98;	0.8796
502.23;	0.8704
502.49;	0.8613
502.75;	0.8522
503.00;	0.8433
503.26;	0.8343
503.52;	0.8255
503.77;	0.8167
504.03;	0.8079
504.29;	0.7992
