םל	Ïמדכ.
700.00	0.002
699.00	0.002
698.00	0.002
697.00	0.002
696.00	0.002
695.00	0.002
694.00	0.002
693.00	0.002
692.00	0.002
691.00	0.002
690.00	0.002
689.00	0.002
688.00	0.002
687.00	0.002
686.00	0.002
685.00	0.002
684.00	0.002
683.00	0.002
682.00	0.002
681.00	0.002
680.00	0.002
679.00	0.002
678.00	0.002
677.00	0.002
676.00	0.002
675.00	0.002
674.00	0.002
673.00	0.002
672.00	0.002
671.00	0.003
670.00	0.003
669.00	0.003
668.00	0.004
667.00	0.004
666.00	0.004
665.00	0.003
664.00	0.004
663.00	0.003
662.00	0.003
661.00	0.003
660.00	0.003
659.00	0.003
658.00	0.003
657.00	0.003
656.00	0.003
655.00	0.003
654.00	0.003
653.00	0.003
652.00	0.003
651.00	0.003
650.00	0.003
649.00	0.003
648.00	0.003
647.00	0.003
646.00	0.003
645.00	0.003
644.00	0.004
643.00	0.003
642.00	0.003
641.00	0.003
640.00	0.003
639.00	0.003
638.00	0.003
637.00	0.003
636.00	0.003
635.00	0.003
634.00	0.003
633.00	0.003
632.00	0.003
631.00	0.003
630.00	0.003
629.00	0.003
628.00	0.003
627.00	0.003
626.00	0.003
625.00	0.003
624.00	0.003
623.00	0.003
622.00	0.003
621.00	0.003
620.00	0.003
619.00	0.003
618.00	0.003
617.00	0.003
616.00	0.003
615.00	0.003
614.00	0.004
613.00	0.003
612.00	0.003
611.00	0.003
610.00	0.003
609.00	0.003
608.00	0.003
607.00	0.004
606.00	0.003
605.00	0.003
604.00	0.003
603.00	0.003
602.00	0.003
601.00	0.003
600.00	0.003
599.00	0.003
598.00	0.003
597.00	0.004
596.00	0.004
595.00	0.003
594.00	0.004
593.00	0.004
592.00	0.003
591.00	0.004
590.00	0.004
589.00	0.004
588.00	0.004
587.00	0.004
586.00	0.004
585.00	0.004
584.00	0.004
583.00	0.004
582.00	0.003
581.00	0.004
580.00	0.004
579.00	0.004
578.00	0.004
577.00	0.004
576.00	0.004
575.00	0.004
574.00	0.004
573.00	0.004
572.00	0.004
571.00	0.004
570.00	0.004
569.00	0.004
568.00	0.004
567.00	0.004
566.00	0.004
565.00	0.004
564.00	0.004
563.00	0.004
562.00	0.004
561.00	0.004
560.00	0.004
559.00	0.004
558.00	0.004
557.00	0.004
556.00	0.004
555.00	0.004
554.00	0.004
553.00	0.004
552.00	0.004
551.00	0.004
550.00	0.004
549.00	0.004
548.00	0.004
547.00	0.004
546.00	0.004
545.00	0.004
544.00	0.004
543.00	0.004
542.00	0.004
541.00	0.005
540.00	0.005
539.00	0.004
538.00	0.004
537.00	0.005
536.00	0.005
535.00	0.004
534.00	0.004
533.00	0.005
532.00	0.004
531.00	0.004
530.00	0.005
529.00	0.005
528.00	0.005
527.00	0.005
526.00	0.005
525.00	0.004
524.00	0.005
523.00	0.005
522.00	0.005
521.00	0.005
520.00	0.005
519.00	0.005
518.00	0.005
517.00	0.005
516.00	0.005
515.00	0.005
514.00	0.006
513.00	0.005
512.00	0.005
511.00	0.006
510.00	0.006
509.00	0.006
508.00	0.006
507.00	0.006
506.00	0.006
505.00	0.006
504.00	0.006
503.00	0.007
502.00	0.007
501.00	0.007
500.00	0.007
499.00	0.007
498.00	0.008
497.00	0.008
496.00	0.008
495.00	0.008
494.00	0.008
493.00	0.008
492.00	0.009
491.00	0.009
490.00	0.009
489.00	0.009
488.00	0.009
487.00	0.010
486.00	0.010
485.00	0.010
484.00	0.011
483.00	0.011
482.00	0.011
481.00	0.011
480.00	0.012
479.00	0.012
478.00	0.012
477.00	0.013
476.00	0.013
475.00	0.014
474.00	0.014
473.00	0.014
472.00	0.015
471.00	0.015
470.00	0.015
469.00	0.016
468.00	0.017
467.00	0.017
466.00	0.017
465.00	0.018
464.00	0.018
463.00	0.019
462.00	0.019
461.00	0.020
460.00	0.021
459.00	0.021
458.00	0.021
457.00	0.021
456.00	0.022
455.00	0.023
454.00	0.023
453.00	0.024
452.00	0.024
451.00	0.025
450.00	0.025
449.00	0.025
448.00	0.027
447.00	0.027
446.00	0.026
445.00	0.027
444.00	0.027
443.00	0.027
442.00	0.028
441.00	0.029
440.00	0.029
439.00	0.029
438.00	0.030
437.00	0.030
436.00	0.031
435.00	0.030
434.00	0.031
433.00	0.031
432.00	0.032
431.00	0.031
430.00	0.031
429.00	0.032
428.00	0.033
427.00	0.032
426.00	0.034
425.00	0.033
424.00	0.033
423.00	0.033
422.00	0.033
421.00	0.034
420.00	0.034
419.00	0.034
418.00	0.034
417.00	0.034
416.00	0.033
415.00	0.033
414.00	0.034
413.00	0.034
412.00	0.033
411.00	0.033
410.00	0.033
409.00	0.033
408.00	0.033
407.00	0.032
406.00	0.032
405.00	0.032
404.00	0.032
403.00	0.031
402.00	0.031
401.00	0.031
400.00	0.030
399.00	0.030
398.00	0.030
397.00	0.030
396.00	0.029
395.00	0.028
394.00	0.028
393.00	0.028
392.00	0.028
391.00	0.027
390.00	0.027
389.00	0.027
388.00	0.026
387.00	0.026
386.00	0.026
385.00	0.025
384.00	0.024
383.00	0.026
382.00	0.026
381.00	0.025
380.00	0.025
379.00	0.025
378.00	0.026
377.00	0.026
376.00	0.025
375.00	0.026
374.00	0.026
373.00	0.026
372.00	0.026
371.00	0.028
370.00	0.027
369.00	0.027
368.00	0.029
367.00	0.030
366.00	0.029
365.00	0.029
364.00	0.031
363.00	0.032
362.00	0.031
361.00	0.033
360.00	0.036
359.00	0.035
358.00	0.038
357.00	0.035
356.00	0.032
355.00	0.035
354.00	0.039
353.00	0.041
352.00	0.040
351.00	0.040
350.00	0.041
349.00	0.045
348.00	0.043
347.00	0.045
346.00	0.047
345.00	0.046
