םל	Ïמדכ.
700.00	0.010
699.00	0.010
698.00	0.010
697.00	0.009
696.00	0.009
695.00	0.010
694.00	0.009
693.00	0.010
692.00	0.010
691.00	0.009
690.00	0.009
689.00	0.009
688.00	0.009
687.00	0.009
686.00	0.009
685.00	0.009
684.00	0.009
683.00	0.009
682.00	0.009
681.00	0.009
680.00	0.009
679.00	0.009
678.00	0.009
677.00	0.009
676.00	0.009
675.00	0.009
674.00	0.009
673.00	0.010
672.00	0.010
671.00	0.010
670.00	0.010
669.00	0.011
668.00	0.012
667.00	0.012
666.00	0.011
665.00	0.011
664.00	0.010
663.00	0.010
662.00	0.010
661.00	0.010
660.00	0.010
659.00	0.010
658.00	0.010
657.00	0.010
656.00	0.010
655.00	0.010
654.00	0.010
653.00	0.010
652.00	0.010
651.00	0.010
650.00	0.010
649.00	0.010
648.00	0.010
647.00	0.010
646.00	0.010
645.00	0.010
644.00	0.010
643.00	0.010
642.00	0.010
641.00	0.010
640.00	0.010
639.00	0.010
638.00	0.010
637.00	0.010
636.00	0.010
635.00	0.010
634.00	0.010
633.00	0.010
632.00	0.010
631.00	0.010
630.00	0.010
629.00	0.010
628.00	0.010
627.00	0.010
626.00	0.010
625.00	0.010
624.00	0.010
623.00	0.010
622.00	0.010
621.00	0.010
620.00	0.010
619.00	0.010
618.00	0.010
617.00	0.010
616.00	0.010
615.00	0.010
614.00	0.010
613.00	0.010
612.00	0.010
611.00	0.010
610.00	0.010
609.00	0.010
608.00	0.010
607.00	0.010
606.00	0.010
605.00	0.010
604.00	0.010
603.00	0.010
602.00	0.010
601.00	0.010
600.00	0.010
599.00	0.010
598.00	0.010
597.00	0.010
596.00	0.010
595.00	0.010
594.00	0.010
593.00	0.010
592.00	0.010
591.00	0.010
590.00	0.010
589.00	0.010
588.00	0.010
587.00	0.010
586.00	0.010
585.00	0.010
584.00	0.010
583.00	0.011
582.00	0.010
581.00	0.010
580.00	0.011
579.00	0.010
578.00	0.011
577.00	0.011
576.00	0.011
575.00	0.011
574.00	0.010
573.00	0.011
572.00	0.011
571.00	0.011
570.00	0.011
569.00	0.011
568.00	0.011
567.00	0.011
566.00	0.011
565.00	0.011
564.00	0.011
563.00	0.011
562.00	0.011
561.00	0.011
560.00	0.011
559.00	0.011
558.00	0.011
557.00	0.011
556.00	0.012
555.00	0.011
554.00	0.011
553.00	0.011
552.00	0.011
551.00	0.011
550.00	0.012
549.00	0.012
548.00	0.012
547.00	0.012
546.00	0.011
545.00	0.012
544.00	0.011
543.00	0.012
542.00	0.011
541.00	0.012
540.00	0.012
539.00	0.012
538.00	0.012
537.00	0.012
536.00	0.012
535.00	0.012
534.00	0.012
533.00	0.012
532.00	0.012
531.00	0.012
530.00	0.012
529.00	0.012
528.00	0.012
527.00	0.012
526.00	0.012
525.00	0.012
524.00	0.012
523.00	0.012
522.00	0.012
521.00	0.012
520.00	0.013
519.00	0.013
518.00	0.013
517.00	0.013
516.00	0.013
515.00	0.013
514.00	0.013
513.00	0.013
512.00	0.013
511.00	0.013
510.00	0.013
509.00	0.013
508.00	0.013
507.00	0.014
506.00	0.014
505.00	0.014
504.00	0.014
503.00	0.014
502.00	0.014
501.00	0.014
500.00	0.014
499.00	0.015
498.00	0.015
497.00	0.015
496.00	0.015
495.00	0.015
494.00	0.015
493.00	0.015
492.00	0.016
491.00	0.016
490.00	0.016
489.00	0.016
488.00	0.016
487.00	0.016
486.00	0.016
485.00	0.017
484.00	0.017
483.00	0.018
482.00	0.018
481.00	0.018
480.00	0.018
479.00	0.018
478.00	0.019
477.00	0.019
476.00	0.020
475.00	0.020
474.00	0.020
473.00	0.021
472.00	0.021
471.00	0.021
470.00	0.022
469.00	0.022
468.00	0.023
467.00	0.023
466.00	0.024
465.00	0.024
464.00	0.024
463.00	0.024
462.00	0.025
461.00	0.026
460.00	0.027
459.00	0.027
458.00	0.027
457.00	0.028
456.00	0.029
455.00	0.029
454.00	0.029
453.00	0.030
452.00	0.031
451.00	0.031
450.00	0.031
449.00	0.031
448.00	0.032
447.00	0.033
446.00	0.033
445.00	0.033
444.00	0.034
443.00	0.034
442.00	0.035
441.00	0.036
440.00	0.035
439.00	0.037
438.00	0.037
437.00	0.037
436.00	0.037
435.00	0.037
434.00	0.038
433.00	0.037
432.00	0.038
431.00	0.038
430.00	0.038
429.00	0.039
428.00	0.039
427.00	0.039
426.00	0.039
425.00	0.040
424.00	0.040
423.00	0.040
422.00	0.040
421.00	0.040
420.00	0.040
419.00	0.040
418.00	0.040
417.00	0.040
416.00	0.040
415.00	0.039
414.00	0.039
413.00	0.040
412.00	0.039
411.00	0.039
410.00	0.039
409.00	0.039
408.00	0.039
407.00	0.038
406.00	0.038
405.00	0.038
404.00	0.037
403.00	0.036
402.00	0.037
401.00	0.036
400.00	0.036
399.00	0.034
398.00	0.034
397.00	0.035
396.00	0.034
395.00	0.033
394.00	0.033
393.00	0.032
392.00	0.032
391.00	0.032
390.00	0.032
389.00	0.031
388.00	0.031
387.00	0.031
386.00	0.030
385.00	0.030
384.00	0.029
383.00	0.029
382.00	0.029
381.00	0.029
380.00	0.030
379.00	0.030
378.00	0.030
377.00	0.030
376.00	0.028
375.00	0.029
374.00	0.029
373.00	0.029
372.00	0.029
371.00	0.031
370.00	0.029
369.00	0.031
368.00	0.031
367.00	0.032
366.00	0.033
365.00	0.031
364.00	0.033
363.00	0.032
362.00	0.033
361.00	0.033
360.00	0.033
359.00	0.030
358.00	0.034
357.00	0.029
356.00	0.035
355.00	0.036
354.00	0.037
353.00	0.036
352.00	0.036
351.00	0.037
350.00	0.035
349.00	0.039
348.00	0.039
347.00	0.041
346.00	0.041
345.00	0.042
344.00	0.044
