םל	Ïמדכ.
700.00	0.001
699.00	0.001
698.00	0.001
697.00	0.001
696.00	0.001
695.00	0.001
694.00	0.001
693.00	0.001
692.00	0.001
691.00	0.001
690.00	0.001
689.00	0.001
688.00	0.002
687.00	0.001
686.00	0.002
685.00	0.002
684.00	0.002
683.00	0.002
682.00	0.002
681.00	0.002
680.00	0.002
679.00	0.002
678.00	0.002
677.00	0.002
676.00	0.002
675.00	0.002
674.00	0.002
673.00	0.002
672.00	0.002
671.00	0.002
670.00	0.001
669.00	0.001
668.00	0.001
667.00	0.002
666.00	0.002
665.00	0.002
664.00	0.002
663.00	0.002
662.00	0.002
661.00	0.002
660.00	0.002
659.00	0.002
658.00	0.001
657.00	0.002
656.00	0.002
655.00	0.002
654.00	0.002
653.00	0.002
652.00	0.002
651.00	0.002
650.00	0.002
649.00	0.002
648.00	0.002
647.00	0.002
646.00	0.002
645.00	0.002
644.00	0.002
643.00	0.002
642.00	0.002
641.00	0.002
640.00	0.002
639.00	0.002
638.00	0.002
637.00	0.002
636.00	0.002
635.00	0.002
634.00	0.002
633.00	0.002
632.00	0.002
631.00	0.002
630.00	0.002
629.00	0.002
628.00	0.002
627.00	0.002
626.00	0.002
625.00	0.002
624.00	0.002
623.00	0.002
622.00	0.002
621.00	0.002
620.00	0.002
619.00	0.002
618.00	0.002
617.00	0.002
616.00	0.002
615.00	0.002
614.00	0.002
613.00	0.002
612.00	0.002
611.00	0.002
610.00	0.002
609.00	0.002
608.00	0.002
607.00	0.002
606.00	0.002
605.00	0.002
604.00	0.002
603.00	0.002
602.00	0.002
601.00	0.002
600.00	0.002
599.00	0.002
598.00	0.002
597.00	0.002
596.00	0.002
595.00	0.002
594.00	0.002
593.00	0.002
592.00	0.002
591.00	0.002
590.00	0.002
589.00	0.002
588.00	0.002
587.00	0.002
586.00	0.002
585.00	0.002
584.00	0.002
583.00	0.002
582.00	0.002
581.00	0.002
580.00	0.002
579.00	0.002
578.00	0.002
577.00	0.003
576.00	0.002
575.00	0.002
574.00	0.002
573.00	0.003
572.00	0.003
571.00	0.002
570.00	0.003
569.00	0.002
568.00	0.003
567.00	0.003
566.00	0.003
565.00	0.003
564.00	0.003
563.00	0.002
562.00	0.003
561.00	0.003
560.00	0.003
559.00	0.003
558.00	0.003
557.00	0.003
556.00	0.003
555.00	0.003
554.00	0.003
553.00	0.003
552.00	0.003
551.00	0.003
550.00	0.003
