םל	Ïמדכ.
700.00	0.004
699.00	0.004
698.00	0.004
697.00	0.004
696.00	0.004
695.00	0.004
694.00	0.004
693.00	0.004
692.00	0.004
691.00	0.004
690.00	0.004
689.00	0.004
688.00	0.004
687.00	0.004
686.00	0.004
685.00	0.004
684.00	0.004
683.00	0.004
682.00	0.004
681.00	0.004
680.00	0.004
679.00	0.004
678.00	0.003
677.00	0.004
676.00	0.003
675.00	0.004
674.00	0.004
673.00	0.004
672.00	0.004
671.00	0.005
670.00	0.005
669.00	0.005
668.00	0.006
667.00	0.006
666.00	0.006
665.00	0.006
664.00	0.005
663.00	0.005
662.00	0.005
661.00	0.005
660.00	0.005
659.00	0.005
658.00	0.005
657.00	0.005
656.00	0.005
655.00	0.005
654.00	0.005
653.00	0.005
652.00	0.005
651.00	0.005
650.00	0.005
649.00	0.005
648.00	0.005
647.00	0.005
646.00	0.005
645.00	0.005
644.00	0.005
643.00	0.005
642.00	0.005
641.00	0.005
640.00	0.005
639.00	0.005
638.00	0.005
637.00	0.005
636.00	0.005
635.00	0.005
634.00	0.005
633.00	0.005
632.00	0.005
631.00	0.005
630.00	0.005
629.00	0.005
628.00	0.005
627.00	0.005
626.00	0.005
625.00	0.005
624.00	0.005
623.00	0.005
622.00	0.005
621.00	0.005
620.00	0.005
619.00	0.005
618.00	0.005
617.00	0.005
616.00	0.005
615.00	0.005
614.00	0.006
613.00	0.005
612.00	0.005
611.00	0.005
610.00	0.005
609.00	0.005
608.00	0.006
607.00	0.005
606.00	0.005
605.00	0.006
604.00	0.006
603.00	0.005
602.00	0.006
601.00	0.005
600.00	0.005
599.00	0.005
598.00	0.005
597.00	0.006
596.00	0.006
595.00	0.006
594.00	0.006
593.00	0.006
592.00	0.005
591.00	0.006
590.00	0.006
589.00	0.006
588.00	0.006
587.00	0.006
586.00	0.006
585.00	0.006
584.00	0.006
583.00	0.006
582.00	0.006
581.00	0.006
580.00	0.006
579.00	0.006
578.00	0.006
577.00	0.006
576.00	0.006
575.00	0.006
574.00	0.006
573.00	0.006
572.00	0.006
571.00	0.006
570.00	0.006
569.00	0.006
568.00	0.006
567.00	0.006
566.00	0.006
565.00	0.006
564.00	0.006
563.00	0.006
562.00	0.006
561.00	0.006
560.00	0.006
559.00	0.006
558.00	0.006
557.00	0.006
