םל	Ïמדכ.
700.00	0.012
699.00	0.012
698.00	0.012
697.00	0.012
696.00	0.012
695.00	0.012
694.00	0.012
693.00	0.012
692.00	0.012
691.00	0.012
690.00	0.011
689.00	0.011
688.00	0.011
687.00	0.011
686.00	0.011
685.00	0.011
684.00	0.011
683.00	0.011
682.00	0.011
681.00	0.011
680.00	0.011
679.00	0.011
678.00	0.011
677.00	0.012
676.00	0.012
675.00	0.012
674.00	0.013
673.00	0.014
672.00	0.014
671.00	0.014
670.00	0.014
669.00	0.014
668.00	0.014
667.00	0.014
666.00	0.013
665.00	0.013
664.00	0.013
663.00	0.013
662.00	0.013
661.00	0.013
660.00	0.013
659.00	0.013
658.00	0.013
657.00	0.013
656.00	0.013
655.00	0.013
654.00	0.013
653.00	0.013
652.00	0.013
651.00	0.013
650.00	0.013
649.00	0.013
648.00	0.013
647.00	0.013
646.00	0.013
645.00	0.013
644.00	0.013
643.00	0.013
642.00	0.013
641.00	0.013
640.00	0.013
639.00	0.013
638.00	0.013
637.00	0.013
636.00	0.013
635.00	0.013
634.00	0.013
633.00	0.013
632.00	0.013
631.00	0.013
630.00	0.013
629.00	0.013
628.00	0.013
627.00	0.013
626.00	0.013
625.00	0.013
624.00	0.013
623.00	0.013
622.00	0.013
621.00	0.013
620.00	0.013
619.00	0.013
618.00	0.013
617.00	0.013
616.00	0.013
615.00	0.013
614.00	0.013
613.00	0.013
612.00	0.013
611.00	0.013
610.00	0.013
609.00	0.013
608.00	0.013
607.00	0.013
606.00	0.013
605.00	0.013
604.00	0.013
603.00	0.014
602.00	0.013
601.00	0.014
600.00	0.014
599.00	0.013
598.00	0.014
597.00	0.014
596.00	0.014
595.00	0.014
594.00	0.014
593.00	0.014
592.00	0.014
591.00	0.014
590.00	0.014
589.00	0.014
588.00	0.014
587.00	0.014
586.00	0.014
585.00	0.014
584.00	0.014
583.00	0.014
582.00	0.014
581.00	0.014
580.00	0.014
579.00	0.014
578.00	0.014
577.00	0.014
576.00	0.014
575.00	0.014
574.00	0.014
573.00	0.014
572.00	0.014
571.00	0.014
570.00	0.014
569.00	0.014
568.00	0.015
567.00	0.015
566.00	0.014
565.00	0.015
564.00	0.015
563.00	0.015
562.00	0.015
561.00	0.015
560.00	0.015
559.00	0.015
558.00	0.015
557.00	0.015
556.00	0.015
555.00	0.015
554.00	0.015
553.00	0.015
552.00	0.015
551.00	0.015
550.00	0.015
549.00	0.015
548.00	0.015
547.00	0.015
546.00	0.015
545.00	0.015
544.00	0.015
543.00	0.015
542.00	0.015
541.00	0.016
540.00	0.016
539.00	0.016
538.00	0.016
537.00	0.016
536.00	0.016
535.00	0.016
534.00	0.016
533.00	0.016
532.00	0.016
531.00	0.016
530.00	0.016
529.00	0.015
528.00	0.015
527.00	0.016
526.00	0.016
525.00	0.016
524.00	0.016
523.00	0.016
522.00	0.016
521.00	0.016
520.00	0.016
519.00	0.016
518.00	0.016
517.00	0.017
516.00	0.016
515.00	0.017
514.00	0.017
513.00	0.017
512.00	0.016
511.00	0.017
510.00	0.017
509.00	0.017
508.00	0.017
507.00	0.017
506.00	0.018
505.00	0.018
504.00	0.018
503.00	0.018
502.00	0.018
501.00	0.018
500.00	0.018
499.00	0.018
498.00	0.019
497.00	0.019
496.00	0.019
495.00	0.019
494.00	0.019
493.00	0.019
492.00	0.019
491.00	0.020
490.00	0.020
489.00	0.020
488.00	0.020
487.00	0.021
486.00	0.021
485.00	0.021
484.00	0.021
483.00	0.022
482.00	0.022
481.00	0.022
480.00	0.022
479.00	0.023
478.00	0.023
477.00	0.024
476.00	0.024
475.00	0.024
474.00	0.024
473.00	0.025
472.00	0.025
471.00	0.026
470.00	0.026
469.00	0.027
468.00	0.027
467.00	0.028
466.00	0.028
465.00	0.029
464.00	0.029
463.00	0.029
462.00	0.030
461.00	0.031
460.00	0.031
459.00	0.032
458.00	0.032
457.00	0.032
456.00	0.033
455.00	0.034
454.00	0.035
453.00	0.035
452.00	0.035
451.00	0.036
450.00	0.037
449.00	0.037
448.00	0.037
447.00	0.038
446.00	0.038
445.00	0.038
444.00	0.039
443.00	0.039
442.00	0.039
441.00	0.040
440.00	0.040
439.00	0.041
438.00	0.041
437.00	0.041
436.00	0.042
435.00	0.042
434.00	0.042
433.00	0.043
432.00	0.042
431.00	0.043
430.00	0.043
429.00	0.043
428.00	0.044
427.00	0.044
426.00	0.045
425.00	0.044
424.00	0.045
423.00	0.044
422.00	0.044
421.00	0.045
420.00	0.045
419.00	0.045
418.00	0.045
417.00	0.045
416.00	0.045
415.00	0.045
414.00	0.045
413.00	0.045
412.00	0.045
411.00	0.044
410.00	0.044
409.00	0.044
408.00	0.043
407.00	0.043
406.00	0.043
405.00	0.043
404.00	0.042
403.00	0.042
402.00	0.042
401.00	0.041
400.00	0.041
399.00	0.039
398.00	0.039
397.00	0.039
396.00	0.039
395.00	0.038
394.00	0.038
393.00	0.038
392.00	0.037
391.00	0.037
390.00	0.036
389.00	0.036
388.00	0.036
387.00	0.035
